Categoria,Conta,Valor
proprios,IPTU,203895333.88
proprios,ISS,414720645.63
proprios,ITBI,66212092.47
proprios,IRRF,130066132.18
federais,Cota-Parte do FPM,71431674.35
estaduais,Cota-Parte do ICMS,550296596.58
estaduais,Cota-Parte do IPVA,155255181.20
federais,Cota-Parte do ITR,112445.56
estaduais,IPI - Exportações (LC 61/1989),4092085.31
