numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,valor_global,municipio_nome,uf,esfera_nome,title,description,item_url
45751435000106-1-000053/2026,,2026,53,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-24T14:48:09.630737,2026-02-24T14:48:09.630737,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 4819/2026,Aquisição de 02 (duas) betoneiras.,/compras/45751435000106/2026/53
45751435000106-1-000203/2026,,2026,203,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-06-11T07:58:47.137562418,2026-06-11T07:58:47.137562418,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 9500/2026,Aquisição e instalação de porta de alumínio,/compras/45751435000106/2026/203
45751435000106-1-000119/2026,,2026,119,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-04-10T11:21:55.952870,2026-04-10T11:21:55.952870,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 11034/2026,Aquisição de Switch 24 portas,/compras/45751435000106/2026/119
45751435000106-1-000023/2026,,2026,23,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Concorrência - Eletrônica,Edital,Divulgada no PNCP,False,2026-02-05T10:56:51.169838,2026-06-02T13:09:22.968130627,,Paulínia,SP,Municipal,Edital nº 18/2026,CONTRATAÇÃO DE SERVIÇOS DE PUBLICIDADE POR INTERMÉDIO DE AGÊNCIA DE PROPAGANDA,/compras/45751435000106/2026/23
45751435000106-1-000201/2026,,2026,201,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-06-10T17:13:32.030420922,2026-06-10T17:13:32.030420922,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 17814/2026,Aquisição de PLÁSTICO PARA PLASTIFICADORA.,/compras/45751435000106/2026/201
45751435000106-1-000042/2026,,2026,42,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-13T08:20:39.178374,2026-02-13T08:20:39.178374,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 3462/2026,Aquisição de lâmpada led tubular.,/compras/45751435000106/2026/42
45751435000106-1-000083/2026,,2026,83,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-03-13T11:08:13.246776,2026-03-13T11:08:13.246776,,Paulínia,SP,Municipal,Edital nº 44/2026,REGISTRO DE PREÇOS PARA LOCAÇÃO DE CARRO DE SOM,/compras/45751435000106/2026/83
45751435000106-1-000013/2026,,2026,13,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-01-28T11:07:34.554622,2026-01-28T11:07:34.554622,,Paulínia,SP,Municipal,Edital nº 12/2026,AQUISIÇÃO DE 10 (DEZ) TROCADORES DE FRALDAS ARTICULADOS,/compras/45751435000106/2026/13
45751435000106-1-000038/2026,,2026,38,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-12T14:10:26.979735993,2026-02-12T14:10:26.979735993,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 2111/2026,Contratação de seguro para o veículo doado ao Município de Paulínia pela Fundação Procon.,/compras/45751435000106/2026/38
45751435000106-1-000049/2026,,2026,49,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-20T09:54:50.998643,2026-02-20T09:57:52.886429,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 982/2026,"Aquisição de componentes avulsos, dados sextavados, para complementação de kits pedagógicos.",/compras/45751435000106/2026/49
45751435000106-1-000135/2026,,2026,135,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-04-27T11:30:13.942713035,2026-04-27T11:30:13.942713035,,Paulínia,SP,Municipal,Edital nº 60/2026,REGISTRO DE PREÇOS PARA FORNECIMENTO DE PICOLÉS,/compras/45751435000106/2026/135
45751435000106-1-000010/2026,,2026,10,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Inexigibilidade,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-01-26T16:00:16.043780,2026-01-26T16:00:16.043780,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 985/2026,Contratação da Banda Raça Negra para programação oficial do aniversário do município.,/compras/45751435000106/2026/10
45751435000106-1-000012/2026,,2026,12,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Suspensa,False,2026-01-27T11:13:14.733226,2026-02-11T15:01:55.659979856,,Paulínia,SP,Municipal,Edital nº 11/2026,CONTRATAÇÃO DE SOLUÇÃO DE TECNOLOGIA DA INFORMAÇÃO PARA GESTÃO DA DÍVIDA ATIVA MUNICIPAL,/compras/45751435000106/2026/12
45751435000106-1-000039/2026,,2026,39,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-12T15:49:09.181246,2026-02-12T15:49:09.181246,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 4156/2026,Aquisição de 08 cadeiras para recepção do CADASTRO ÚNICO.,/compras/45751435000106/2026/39
45751435000106-1-000121/2026,,2026,121,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-04-10T16:55:31.377109,2026-04-10T16:55:31.377109,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 11415/2026,AQUISIÇÃO DE CERA LÍQUIDA INCOLOR PARA MANUTENÇÃO DO PISO DA CANCHA DE BOCHA.,/compras/45751435000106/2026/121
45751435000106-1-000132/2026,,2026,132,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-04-24T11:09:21.102392,2026-04-24T11:09:21.102392,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 9099/2026,"CUMPRIMENTO DE AÇÃO JUDICIAL SOB Nº 300461-44.2013.8.26.0428. REQUERENTE ""A.B.F.L.""",/compras/45751435000106/2026/132
45751435000106-1-000151/2026,,2026,151,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-05-06T11:43:51.130164750,2026-05-06T11:43:51.130164750,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 13508/2026,"Contratação de Empresa Especializada em Locação de cama com colchão, tamanho solteiro",/compras/45751435000106/2026/151
45751435000106-1-000163/2026,,2026,163,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Inexigibilidade,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-05-15T09:39:51.787976,2026-05-15T09:39:51.787976,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 13679/2026,Pagamento de Taxas de participação e Inscrição em eventos esportivos.,/compras/45751435000106/2026/163
45751435000106-1-000015/2026,,2026,15,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-01-29T08:21:50.319559,2026-01-29T08:21:50.319559,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 911/2026,CUMPRIMENTO DE AÇÃO JUDICIAL SOB Nº 0002726.50.2025.8.26.0428. REQUERENTE J.R.S.B.,/compras/45751435000106/2026/15
45751435000106-1-000033/2026,,2026,33,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-02-10T14:13:36.376205,2026-02-10T14:13:36.376205,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 1061/2026,CUMPRIMENTO DE ACAO JUDICIAL SOB NR. 1006457.71.2024.8.26.0428. REQUERENTE F.S.Q.,/compras/45751435000106/2026/33
45751435000106-1-000034/2026,,2026,34,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-11T11:03:54.704101,2026-02-11T11:03:54.704101,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 4105/2026,AQUISIÇÃO DE UMA BOMBA DE PISCINA PARA O GINÁSIO VICENTE AMATTE,/compras/45751435000106/2026/34
45751435000106-1-000040/2026,,2026,40,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-12T16:13:28.149964,2026-02-12T16:13:28.149964,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 2690/2026,"EMPRESA PARA FORNECIMENTO DE PASSAGENS AEREAS E HOSPEDAGEM, PARA RECAMBIO DE MENOR ADOLESCENTE COM ACOMPANHANTE",/compras/45751435000106/2026/40
45751435000106-1-000048/2026,,2026,48,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Inexigibilidade,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-02-20T09:53:39.935565,2026-02-20T09:53:39.935565,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 2782/2026,"CAPACITAÇÃO PARA A REDE DE PROTEÇÃO, CONSELHO TUTELAR E CONSELHO MUNICIPAL DOS DIREITOS DA CRIANÇA E DO ADOLESCENTE",/compras/45751435000106/2026/48
45751435000106-1-000058/2026,,2026,58,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-02-27T15:36:44.704902,2026-02-27T15:43:19.414801,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 2412/2026,Contratação de empresa especializada para fornecimento e instalação de película de controle solar nas dependências do CEFORM e do CREAPI.,/compras/45751435000106/2026/58
45751435000106-1-000068/2026,,2026,68,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-03-05T10:15:15.472573,2026-03-05T10:15:15.472573,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 5937/2026,"Aquisição de Equipamentos para Acabamento Gráfico (guilhotina, encadernadora e plastificadora).",/compras/45751435000106/2026/68
45751435000106-1-000093/2026,,2026,93,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2026-03-20T11:22:07.868940,2026-03-20T11:22:07.868940,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 4645/2026,CUMPRIMENTO DE AÇÕES JUDICIAIS SOB Nº 1000980.04.2023.8.26.0428 E 428.01.2009.009058-3. REQUERENTES J.C.F.S E V.A.B.,/compras/45751435000106/2026/93
45751435000106-1-000137/2026,,2026,137,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-04-27T15:11:46.041912818,2026-04-27T15:11:46.041912818,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 0012662/2026,AQUISIÇÃO DE PROTETOR SOLAR FPS 30 COM REPELENTE DE INSETOS,/compras/45751435000106/2026/137
45751435000106-1-000146/2026,,2026,146,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-05-04T12:29:04.792228702,2026-05-04T12:29:04.792228702,,Paulínia,SP,Municipal,Edital nº 68/2026,AQUISIÇÃO DE EQUIPAMENTOS PARA IMPLANTAÇÃO DE SINAL SONORO PARA AS UNIDADES ESCOLARES,/compras/45751435000106/2026/146
45751435000106-1-000073/2026,,2026,73,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-03-09T12:04:11.374066971,2026-03-09T12:04:11.374066971,,Paulínia,SP,Municipal,Edital nº 0000035\2026/2026,"AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO (GLP) A GRANEL, COM CESSÃO GRATUITA E TEMPORÁRIA DE EQUIPAMENTOS EM REGIME DE COMODATO",/compras/45751435000106/2026/73
45751435000106-1-000075/2026,,2026,75,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-03-11T11:19:18.148851,2026-03-11T11:19:18.148851,,Paulínia,SP,Municipal,Edital nº 39/2026,"AQUISIÇÃO DE GÁS LIQUEFEITO DE PETRÓLEO (GLP) A GRANEL, COM CESSÃO GRATUITA E TEMPORÁRIA DE EQUIPAMENTOS EM REGIME DE COMODATO",/compras/45751435000106/2026/75
45751435000106-1-000097/2026,,2026,97,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2026-03-24T07:53:20.466940,2026-03-24T07:53:20.466940,,Paulínia,SP,Municipal,Edital nº 47/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO, REVITALIZAÇÃO E ADEQUAÇÃO FUNCIONAL EM UMA CANCHA DE MALHA E DUAS CANCHAS DE BOCHA",/compras/45751435000106/2026/97
45751435000106-1-000131/2026,,2026,131,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2026-04-23T14:29:54.043913,2026-04-23T14:29:54.043913,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 04/2026,CONTRATAÇÃO DE EMPRESA PARA A PRESTAÇÃO DE SERVIÇOS DE TESTES EM EPIs PLUMBÍFEROS.,/compras/45751435000106/2026/131
