numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_contrato_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,data_assinatura,data_inicio_vigencia,data_fim_vigencia,valor_global,fonte_orcamentaria_nome,exigencia_conteudo_nacional,permite_adesao,possui_emenda_parlamentar,municipio_nome,uf,esfera_nome,poder_nome,title,description,item_url
45751435000106-2-000007/2025,,2025,7,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-02-10T11:29:43.416637,2025-02-10T11:29:43.416637,2025-02-10,2025-02-10,2025-08-09,9137.04,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 012/2025,MEDICAMENTO,/contratos/45751435000106/2025/7
45751435000106-2-000325/2025,,2025,325,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2025-11-05T16:28:23.643469647,2025-11-05T16:28:23.643469647,2025-11-05,2025-11-05,2026-11-04,32990.0,,,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 347/2025,AQUISIÇÃO DE ÓCULOS,/contratos/45751435000106/2025/325
45751435000106-2-000028/2025,,2025,28,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-03-06T08:59:57.212214480,2025-03-06T08:59:57.212214480,2025-02-24,2025-02-24,2025-08-23,1720.8,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 046/2025,6 - Medicamentos,/contratos/45751435000106/2025/28
45751435000106-2-000213/2025,,2025,213,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-08-06T08:29:46.475905623,2025-08-06T08:29:46.475905623,2025-08-05,2025-08-05,2026-08-04,80469.9,,,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 233/2025,6 - Medicamentos,/contratos/45751435000106/2025/213
45751435000106-2-000258/2025,,2025,258,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-09-05T16:57:54.939832540,2025-09-05T16:57:54.939832540,2025-09-05,2025-09-05,2026-09-04,21924.0,,,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 280/2025,6 - Medicamentos,/contratos/45751435000106/2025/258
45751435000106-2-000022/2025,,2025,22,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2025-02-25T16:24:15.088091469,2025-02-25T16:24:15.088091469,2025-02-24,2025-02-24,2025-08-22,24000.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 032/2025,"AQUISIÇÃO DE BOLO, REFRIGERANTE E SUCO",/contratos/45751435000106/2025/22
45751435000106-2-000053/2025,,2025,53,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-03-28T11:26:13.306964868,2025-03-28T11:26:13.306964868,2025-03-28,2025-03-28,2026-03-27,638.2,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 068/2025,6 - Medicamentos,/contratos/45751435000106/2025/53
45751435000106-2-000054/2025,,2025,54,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-03-28T11:56:19.543652269,2025-03-28T11:56:19.543652269,2025-03-28,2025-03-28,2025-09-27,6864.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 069/2025,3 - Gêneros alimentícios,/contratos/45751435000106/2025/54
45751435000106-2-000105/2025,,2025,105,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-05-22T15:35:12.698178140,2025-05-22T15:35:12.698178140,2025-05-19,2025-05-19,2026-05-18,4725.12,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 121/2025,6 - Medicamentos,/contratos/45751435000106/2025/105
45751435000106-2-000203/2025,,2025,203,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-07-24T15:38:32.352243859,2025-07-24T15:38:32.352243859,2025-07-22,2025-07-22,2026-01-21,6864.0,,,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 219/2025,3 - Gêneros alimentícios,/contratos/45751435000106/2025/203
