numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,valor_global,municipio_nome,uf,esfera_nome,title,description,item_url
45751435000106-1-000157/2023,,2023,157,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-12-08T12:06:42.360002,2024-01-16T15:28:53.101666,,Paulínia,SP,Municipal,Edital nº 299/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS HOSPITALARES,/compras/45751435000106/2023/157
45751435000106-1-000079/2023,,2023,79,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-09-19T12:20:42.406449,2024-01-17T15:36:20.251619,,Paulínia,SP,Municipal,Edital nº 231/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS PADRONIZADOS,/compras/45751435000106/2023/79
45751435000106-1-000099/2023,,2023,99,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-10-20T15:56:16.340726,2024-01-17T15:43:20.122930,,Paulínia,SP,Municipal,Edital nº 247/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MEDICAMENTOS PSICOTRÓPICOS,/compras/45751435000106/2023/99
45751435000106-1-000105/2023,,2023,105,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-10-24T09:52:15.336232,2024-01-17T15:51:09.856759,,Paulínia,SP,Municipal,Edital nº 251/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE ATADURAS DE ALGODÃO,/compras/45751435000106/2023/105
45751435000106-1-000118/2023,,2023,118,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-09T09:41:22.419384,2024-01-17T15:54:52.072739,,Paulínia,SP,Municipal,Edital nº 260/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS LABORATORIAIS,/compras/45751435000106/2023/118
45751435000106-1-000120/2023,,2023,120,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-10T10:51:27.965282,2024-01-17T15:55:47.020360,,Paulínia,SP,Municipal,Edital nº 265/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE LIXEIRAS HOSPITALARES,/compras/45751435000106/2023/120
45751435000106-1-000134/2023,,2023,134,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-21T13:59:09.898089,2024-01-17T16:01:34.552838,,Paulínia,SP,Municipal,Edital nº 282/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE ACESSÓRIOS HOSPITALARES,/compras/45751435000106/2023/134
45751435000106-1-000135/2023,,2023,135,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-22T10:36:45.137814,2024-01-17T16:01:47.198194,,Paulínia,SP,Municipal,Edital nº 281/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS HOSPITALARES,/compras/45751435000106/2023/135
45751435000106-1-000151/2023,,2023,151,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-12-04T08:47:01.854557,2024-01-17T16:06:19.876366,,Paulínia,SP,Municipal,Edital nº 296/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE SERINGAS E AGULHAS,/compras/45751435000106/2023/151
45751435000106-1-000145/2023,,2023,145,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-27T13:52:28.083728,2024-01-24T10:53:10.649478,,Paulínia,SP,Municipal,Edital nº 262/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS ODONTOLÓGICOS,/compras/45751435000106/2023/145
45751435000106-1-000169/2023,,2023,169,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-12-14T12:38:34.786952,2024-03-11T11:51:12.816982,,Paulínia,SP,Municipal,Edital nº 307/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE CURATIVOS ESPECIAIS,/compras/45751435000106/2023/169
