numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,valor_global,municipio_nome,uf,esfera_nome,title,description,item_url
45751435000106-1-000114/2025,,2025,114,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-05-09T10:30:56.781205,2025-05-09T10:30:56.781205,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 9441/2025,6 - Medicamentos,/compras/45751435000106/2025/114
45751435000106-1-000056/2025,,2025,56,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-03-13T08:34:10.280045,2025-03-13T08:34:10.280045,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 1310/2025,17 - Outras prestações de serviços,/compras/45751435000106/2025/56
45751435000106-1-000063/2025,,2025,63,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Inexigibilidade,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-03-24T13:51:22.745731,2025-03-24T13:51:22.745731,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 6421/2025,17 - Outras prestações de serviços,/compras/45751435000106/2025/63
45751435000106-1-000028/2025,,2025,28,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2025-02-24T16:28:16.631937,2025-03-13T14:47:44.257725239,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 3205/2025,CALÇADOS ORTOPÉDICOS CONFECCIONADOS SOB MEDIDA,/compras/45751435000106/2025/28
45751435000106-1-000086/2025,,2025,86,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2025-04-09T10:22:10.541929,2025-04-29T11:03:19.767487794,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 4472/2025,Aquisição de soprador e demais equipamentos de manutenção,/compras/45751435000106/2025/86
45751435000106-1-000134/2025,,2025,134,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2025-05-20T15:53:02.125285,2025-05-20T15:53:02.125285,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 10373/2025,AQUISIÇÃO DE MATERIAIS MÉDICO HOSPITALARES.,/compras/45751435000106/2025/134
45751435000106-1-000024/2025,,2025,24,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2025-02-17T12:56:49.778820,2025-03-26T09:53:53.116911590,,Paulínia,SP,Municipal,Edital nº 18/2025,AQUISIÇÃO DE CORTINAS HOSPITALARES COM SERVIÇOS DE INSTALAÇÃO,/compras/45751435000106/2025/24
45751435000106-1-000096/2025,,2025,96,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2025-04-11T16:20:32.858207,2025-04-11T16:20:32.858207,,Paulínia,SP,Municipal,Edital nº 48/2025,AQUISIÇÃO DE EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL (EPI),/compras/45751435000106/2025/96
45751435000106-1-000271/2025,,2025,271,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Inexigibilidade,Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2025-08-06T14:19:38.799217,2025-08-06T14:19:38.799217,,Paulínia,SP,Municipal,Ato que autoriza a Contratação Direta nº 22050/2025,17 - Outras prestações de serviços,/compras/45751435000106/2025/271
45751435000106-1-000363/2025,,2025,363,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2025-09-30T09:22:08.109745,2025-09-30T09:22:08.109745,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 8558/2025,Telefone celular,/compras/45751435000106/2025/363
