numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_contrato_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,data_assinatura,data_inicio_vigencia,data_fim_vigencia,valor_global,fonte_orcamentaria_nome,exigencia_conteudo_nacional,permite_adesao,possui_emenda_parlamentar,municipio_nome,uf,esfera_nome,poder_nome,title,description,item_url
45751435000106-2-000225/2024,,2024,225,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-09-19T16:39:49.634396,2024-09-19T16:40:09.882355,2024-09-19,2024-09-19,2025-09-19,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 501/2024,AQUISIÇÃO DE MOBILIÁRIOS DE ESCRITÓRIO,/contratos/45751435000106/2024/225
45751435000106-2-000243/2024,,2024,243,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-10-03T09:52:49.953687,2024-10-03T09:53:46.507794,2024-09-26,2024-09-26,2024-12-26,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 504/2024,AQUISIÇÃO DE ELETRODOMÉSTICOS,/contratos/45751435000106/2024/243
45751435000106-2-000244/2024,,2024,244,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-10-03T10:02:00.567125,2024-10-03T10:02:25.405465,2024-09-26,2024-09-26,2024-12-26,649.99,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 506/2024,AQUISIÇÃO DE ELETRODOMÉSTICOS.,/contratos/45751435000106/2024/244
45751435000106-2-000254/2024,,2024,254,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-10-07T11:11:31.640932,2024-10-07T11:11:54.189409,2024-10-07,2024-10-07,2025-10-07,21000.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 526/2024,AQUISIÇÃO DE CAMAS HOSPITALARES E BERÇOS,/contratos/45751435000106/2024/254
45751435000106-2-000323/2024,,2024,323,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-12-10T10:28:14.242803,2024-12-10T10:28:14.242803,2024-12-10,2024-12-10,2025-12-09,54558.6,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 616/2024,AQUISIÇÃO DE MOBILIÁRIOS HOSPITALARES,/contratos/45751435000106/2024/323
45751435000106-2-000326/2024,,2024,326,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-12-10T10:43:13.622654,2024-12-10T10:43:13.622654,2024-12-10,2024-12-10,2025-12-09,80130.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 617/2024,AQUISIÇÃO DE MOBILIÁRIOS HOSPITALARES,/contratos/45751435000106/2024/326
45751435000106-2-000327/2024,,2024,327,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-12-10T12:31:29.880671,2024-12-10T12:31:29.880671,2024-12-10,2024-12-10,2025-03-09,38489.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 620/2024,AÇÃO JUDICIAL,/contratos/45751435000106/2024/327
45751435000106-2-000079/2024,,2024,79,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-06-24T11:15:14.519621,2024-06-24T11:15:14.519621,2024-06-24,2024-06-24,2025-06-24,1290.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 328/2024,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,/contratos/45751435000106/2024/79
45751435000106-2-000080/2024,,2024,80,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-06-24T11:30:19.132052,2024-06-24T11:30:19.132052,2024-06-24,2024-06-24,2025-06-24,9655.5,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 327/2024,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,/contratos/45751435000106/2024/80
45751435000106-2-000085/2024,,2024,85,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-06-24T15:36:35.036646,2024-06-24T15:36:35.036646,2024-06-24,2024-06-24,2025-06-24,15000.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 334/2024,AQUISIÇÃO DE EQUIPAMENTOS ODONTOLÓGICOS,/contratos/45751435000106/2024/85
