ano,competencia,tipo_transferencia,modalidade_transferencia,orgao_superior_codigo,orgao_superior_nome,unidade_gestora_codigo,unidade_gestora_nome,funcao_id,funcao_descricao,acao_id,acao_descricao,valor_transferido,municipio_ibge,municipio_nome,fonte_api
2025,2025-09,Não se aplica,EM EXECUÇÃO,26000,Ministério da Educação,157241,CEF - PAC/FNDE,-1,Sem informação,977996,Construcao de Creche e Escola de Educacao Infantil-SOORETAMA-ES - FNDE - Creche Tipo 2.,0,3205010,SOORETAMA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2025,2025-12,Não se aplica,EM EXECUÇÃO,42000,Ministério da Cultura,420014,SEC.DE FOMENTO E INCENTIVO A CULTURA/MINC,-1,Sem informação,986594,"Realizacao de tres eventos culturais gratuitos  Festival de Verao, Festival da Tilapia e Festival da Pesca Artesanal  no balneario de Patrimonio da Lagoa, em Sooretama/ES, com foco na valorizacao da cultura local, da pesca artesanal e da economia criativa, por meio de programacao artistica e estrutura de apoio adequada ao publico.",0,3205010,SOORETAMA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
