ano,municipio,tipo,codigo,especificacao,fiscal,seguridade,total,lei_numero,data_lei,fonte
2022,sorocaba,resumo,,Total LOA,3337628113.6,449266524.0,3786894637.6,12.474,30 DE DEZEMBRO DE 2021,LAI Sorocaba
2022,sorocaba,orgao,,CONTROLADORIA GERAL DO MUNICÍPIO,,,5506044.0,,,LAI Sorocaba
2022,sorocaba,orgao,,Lei nº,,,49101753.9,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DA EDUCAÇÃO,,,748586693.55,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DA FAZENDA,,,162216756.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DA HABITAÇÃO E REGUL. FUNDIÁRIA,,,4186000.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DA SAÚDE -,,,622480583.57,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE ADMINISTRAÇÃO,,,284661019.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE COMUNICAÇÃO,,,8233000.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE CULTURA,,,12285801.0,,,LAI Sorocaba
2022,sorocaba,orgao,,"SECR. DE DESENV. ECONÔMICO, TRABALHO E TUR.",,,11115644.77,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE ESPORTES E LAZER,,,15546888.54,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE GOVERNO,,,7118504.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE MOBILIDADE E DESENV. ESTRATÉGICO,,,278740517.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE PLANEJAMENTO,,,21845000.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE RECURSOS HUMANOS,,,57408339.98,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE RELAÇÕES INST. E METROPOLITANAS,,,1544164.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE SEGURANÇA URBANA,,,56341013.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DE SERVIÇOS PÚBLICOS E OBRAS,,,217048047.12,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. DO MEIO AMBIENTE E SUSTENTABILIDADE,,,16707890.77,,,LAI Sorocaba
2022,sorocaba,orgao,,SECR. JURÍDICA,,,25972681.0,,,LAI Sorocaba
2022,sorocaba,orgao,,SERVICO AUTÔNOMO DE ÁGUA E ESGOTO - SAAE,,,337734244.6,,,LAI Sorocaba
2022,sorocaba,orgao,,FUND. DE SEGURIDADE SOCIAL DE SOROCABA - PREVIDÊNCIA -,,,431180000.0,,,LAI Sorocaba
2022,sorocaba,orgao,,URBES - EMPRESA DE DESENV. URBANO E SOCIAL SOROCABA,,,46522174.0,,,LAI Sorocaba
2022,sorocaba,orgao,,FUNDAÇÃO DE SEGURIDADE SOCIAL DE SOROCABA - SAÚDE,,,133910000.0,,,LAI Sorocaba
2022,sorocaba,orgao,,PARQUE TECNOLÓGICO DE SOROCABA,,,5558915.0,,,LAI Sorocaba
2022,sorocaba,funcao,01,LEGISLATIVA,,,69213000.0,,,LAI Sorocaba
2022,sorocaba,funcao,03,ESSENCIAL A JUSTIÇA,,,25972681.0,,,LAI Sorocaba
2022,sorocaba,funcao,04,ADMINISTRAÇÃO,,,421242491.98,,,LAI Sorocaba
2022,sorocaba,funcao,06,SEGURANÇA PÚBLICA,,,56341013.0,,,LAI Sorocaba
2022,sorocaba,funcao,11,TRABALHO,,,1150000.0,,,LAI Sorocaba
