ano,municipio,tipo,codigo,especificacao,fiscal,seguridade,total,lei_numero,data_lei,fonte
2023,sorocaba,resumo,,Total LOA,3979954873.0,596892448.0,4576847321.0,12.703,26 DE DEZEMBRO DE 2022,LAI Sorocaba
2023,sorocaba,orgao,,FUNDO SOCIAL DE SOLIDARIEDADE -,,,198602.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DA CIDADANIA -,,,61140368.54,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DA EDUCAÇÃO,,,877417163.5,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DA FAZENDA,,,217036814.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DA HABITAÇÃO E REGUL. FUNDIÁRIA,,,6658717.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DA SAÚDE -,,,732328005.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE ADMINISTRAÇÃO,,,192817505.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE COMUNICAÇÃO,,,10050000.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE CULTURA,,,13903480.0,,,LAI Sorocaba
2023,sorocaba,orgao,,"SECR. DE DESENV. ECONÔMICO, TRABALHO E TURISMO",,,12365398.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE ESPORTES E QUALIDADE DE VIDA,,,28135159.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE GOVERNO,,,15531411.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE MOBILIDADE,,,454045424.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE URBANISMO E LICENCIAMENTO,,,22091895.5,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE RECURSOS HUMANOS,,,82994500.5,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE GABINETE CENTRAL,,,11708825.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE RELAÇÕES INST. E METROPOLITANAS,,,2744749.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE SEGURANCA URBANA,,,74269302.5,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. DE SERVICOS PÚBLICOS E OBRAS,,,236163829.0,,,LAI Sorocaba
2023,sorocaba,orgao,,"SECR. DO MEIO AMBIENTE, PROT. BEM ESTAR ANIMAL",,,25677087.0,,,LAI Sorocaba
2023,sorocaba,orgao,,SECR. JURÍDICA,,,28570000.0,,,LAI Sorocaba
2023,sorocaba,orgao,,- FUND. DE SEGURIDADE SOCIAL DE SOROCABA - -,,,528808000.0,,,LAI Sorocaba
2023,sorocaba,orgao,,PREVIDÊNCIA,,,47190000.0,,,LAI Sorocaba
2023,sorocaba,orgao,,- FUNDAÇÃO DE SEGURIDADE SOCIAL DE SOROCABA - SAÚDE,,,159638640.0,,,LAI Sorocaba
2023,sorocaba,orgao,,- EMPRESA MUNICIPAL PARQUE TECNOLÓGICO DE SOROCABA,,,6049768.65,,,LAI Sorocaba
2023,sorocaba,funcao,01,LEGISLATIVA,,,78960000.0,,,LAI Sorocaba
2023,sorocaba,funcao,03,ESSENCIAL A JUSTIÇA,,,29351411.0,,,LAI Sorocaba
2023,sorocaba,funcao,04,ADMINISTRAÇÃO,,,541795467.0,,,LAI Sorocaba
2023,sorocaba,funcao,06,SEGURANCA PÚBLICA,,,74269302.5,,,LAI Sorocaba
2023,sorocaba,funcao,11,TRABALHO,,,500000.0,,,LAI Sorocaba
2023,sorocaba,funcao,12,EDUCAÇÃO,,,900284289.5,,,LAI Sorocaba
2023,sorocaba,funcao,13,CULTURA,,,13903480.0,,,LAI Sorocaba
2023,sorocaba,funcao,15,URBANISMO,,,232054911.0,,,LAI Sorocaba
2023,sorocaba,funcao,16,HABITAÇÃO,,,6658717.0,,,LAI Sorocaba
2023,sorocaba,funcao,17,SANEAMENTO,,,498612504.0,,,LAI Sorocaba
2023,sorocaba,funcao,18,GESTÃO AMBIENTAL,,,25677087.0,,,LAI Sorocaba
2023,sorocaba,funcao,19,CIÊNCIA E TECNOLOGIA,,,6049768.65,,,LAI Sorocaba
2023,sorocaba,funcao,23,COMÉRCIO E SERVIÇOS,,,11865398.0,,,LAI Sorocaba
2023,sorocaba,funcao,24,COMUNICAÇÕES,,,10050000.0,,,LAI Sorocaba
2023,sorocaba,funcao,26,TRANSPORTE,,,501235424.0,,,LAI Sorocaba
2023,sorocaba,funcao,27,DESPORTO E LAZER,,,28135159.0,,,LAI Sorocaba
