arquivo,area,ano,municipio,fonte_url,fonte_arquivo,script_extracao,validado_por,validado_em,sha256_raw,autorizado_por,status,observacao
despesas_executivo_sao_paulo_2020.csv,executivo,2020,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2020_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,eade53f4b2790b54b686377f4b25914d4180d5dba01c1d4701b1124479d97818,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
despesas_executivo_sao_paulo_2021.csv,executivo,2021,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2021_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,f35dd6f6afdf4d516b473fbec6e8313e3dd49a826932550f035a686a7cb3d091,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
despesas_executivo_sao_paulo_2022.csv,executivo,2022,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2022_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,6baa4a81650ea21e9e453f438da7b132640fb1510258e66263a2aa7ec326e640,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
despesas_executivo_sao_paulo_2023.csv,executivo,2023,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2023_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,b9d8f69812086fdef26e5b416a020ecb3a73df4d37be2540dfa18fa98872bc38,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
despesas_executivo_sao_paulo_2024.csv,executivo,2024,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2024_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,1c57e4f154dce479af932b9f00cd9a32ab4dcdbc50357d61e43867e4b232e362,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
despesas_executivo_sao_paulo_2025.csv,executivo,2025,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2025_bl6.json,pipelines/extrator_executivo.py,retroativo,2026-05-22,a0843965b7cda7b888451c41250cba132bd13ce688888bcbf47c107ea69fcfb8,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2020.csv,fiscal,2020,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2020_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,45b050f2ee32e7b41df9785dc510ce30f8f4266f577104a8668787cfdac7f946,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2021.csv,fiscal,2021,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2021_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,f9a91c7c53f94c026a7cb85badc1dc450cdc6fff126b9e7cb830a5b57327d0c9,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2022.csv,fiscal,2022,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2022_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,713481e1ba70d84798e52df37245bdb467b058e2da54ae4ab720bc7f52e52abf,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2023.csv,fiscal,2023,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2023_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,ae67631e02bbdcb01ce6c293ef945a072822f58b83bff48f53df8eed6f0142bb,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2024.csv,fiscal,2024,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2024_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,710a87bc5768cb2b4bbe2fae2c169c51662b7393623ad835280aab463afb880c,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_detalhada_sao_paulo_2025.csv,fiscal,2025,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2025_qd3.json,pipelines/extrator_divida_detalhada.py,retroativo,2026-05-22,fe8271c5dea3010df55790c675f5c7367bf3232ef1901854faf963e5b1029e35,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_sao_paulo_2020.csv,fiscal,2020,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2020_qd3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-05-22,0403e3a3f5e1f255bcce546085eab0cea5bd2af05c57e41fc8848d9af46a952a,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
divida_sao_paulo_2021.csv,fiscal,2021,sao_paulo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2021_qd3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-05-22,aad6ab7a928b919aaa0ba454233c6741bc81758ff991ecda33b111c1a9d058c6,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo publico; raw original nao preservado localmente
