ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2019,4127809,Tomazina,TOMAZINA - PR,201928430006,JOAO ARRUDA,,,Emenda Individual - Transferências com Finalidade Definida,Agricultura,Promoção da produção agropecuária,"600.000,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,4127809,Tomazina,TOMAZINA - PR,201928430018,JOAO ARRUDA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"680.027,00","680.027,00","680.027,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
