Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"14.136.574,60","14.136.574,60","11.210.756,13","0,00","2.925.818,47",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3518800
06.122 - Administração Geral,"9.700.760,07","9.700.760,07","7.885.163,42","0,00","1.815.596,65",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3518800
06.181 - Policiamento,"2.908.370,49","2.908.370,49","2.536.998,39","0,00","371.372,10",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3518800
06.182 - Defesa Civil,"1.527.444,04","1.527.444,04","788.594,32","0,00","738.849,72",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2024&id_ente=3518800
