Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"9.081.209,86","8.526.649,94","6.500.567,80","554.559,92","2.026.082,14",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3518800
06.122 - Administração Geral,"4.755.891,62","4.425.043,92","2.987.793,28","330.847,70","1.437.250,64",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3518800
06.181 - Policiamento,"3.061.519,99","3.061.519,99","2.796.354,41","0,00","265.165,58",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3518800
06.182 - Defesa Civil,"1.263.798,25","1.040.086,03","716.420,11","223.712,22","323.665,92",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3518800
