unidade_gestora,natureza_receita,conta_contabil,descricao_receita,data_movimentacao,operacao,valor,nome_banco,id,ano,municipio,entidade,fonte
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,4.5.1.1.2.02.00.000 ,REPASSE RECEBIDO                                  ,19/01/2024 00:00,ARRECADACAO         ,"3.375.000,00",BANCO DO BRASIL C/MOV.                            ,148362,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,10/01/2024 00:00,ARRECADACAO         ,"812,16",BANCO DO BRASIL C/MOV.                            ,117482,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.03.001 ,PAULÍNIA PREVI                                    ,26/01/2024 00:00,ARRECADACAO         ,"111.743,33",BANCO DO BRASIL C/MOV.                            ,117682,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/01/2024 00:00,ARRECADACAO         ,"751,54",BANCO DO BRASIL C/MOV.                            ,117480,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,26/01/2024 00:00,ARRECADACAO         ,"32.611,72",BANCO DO BRASIL C/MOV.                            ,117679,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/01/2024 00:00,ARRECADACAO         ,"784,00",BANCO DO BRASIL C/MOV.                            ,117481,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/01/2024 00:00,ARRECADACAO         ,"1.030,61",BANCO DO BRASIL C/MOV.                            ,117483,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/01/2024 00:00,ARRECADACAO         ,"1.949,19",BANCO DO BRASIL C/MOV.                            ,117485,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,26/01/2024 00:00,ARRECADACAO         ,"95,62",BANCO DO BRASIL C/MOV.                            ,117671,2024,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.02.002 ,I.N.S.S - RETENÇÃO PESSOA JURIDICA                ,10/01/2024 00:00,ARRECADACAO         ,"1.591,99",BANCO DO BRASIL C/MOV.                            ,117484,2024,paulinia,camara,SMARAPD Câmara de Paulínia
