unidade_gestora,natureza_receita,conta_contabil,descricao_receita,data_movimentacao,operacao,valor,nome_banco,id,ano,municipio,entidade,fonte
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,09/01/2026 00:00,ARRECADACAO         ,"743,14",BANCO DO BRASIL (APLICAÇÃO)                       ,387604,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,15/01/2026 00:00,ARRECADACAO         ,"18,46",BANCO DO BRASIL (APLICAÇÃO)                       ,388229,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,15/01/2026 00:00,ARRECADACAO         ,"2.673,13",BANCO DO BRASIL (APLICAÇÃO)                       ,388231,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,20/01/2026 00:00,ARRECADACAO         ,"44,44",BANCO DO BRASIL (APLICAÇÃO)                       ,388440,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,12/01/2026 00:00,ARRECADACAO         ,"91,20",BANCO DO BRASIL (APLICAÇÃO)                       ,387725,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,12/01/2026 00:00,ARRECADACAO         ,"1.255,78",BANCO DO BRASIL (APLICAÇÃO)                       ,387728,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,14/01/2026 00:00,ARRECADACAO         ,"1.778,98",BANCO DO BRASIL (APLICAÇÃO)                       ,388091,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,16/01/2026 00:00,ARRECADACAO         ,"10.236,98",BANCO DO BRASIL (APLICAÇÃO)                       ,388273,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,19/01/2026 00:00,ARRECADACAO         ,"17,07",BANCO DO BRASIL (APLICAÇÃO)                       ,388342,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,20/01/2026 00:00,ARRECADACAO         ,"792,00",BANCO DO BRASIL (APLICAÇÃO)                       ,388442,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,22/01/2026 00:00,ARRECADACAO         ,"249,40",BANCO DO BRASIL (APLICAÇÃO)                       ,388537,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,26/01/2026 00:00,ARRECADACAO         ,"482,91",BANCO DO BRASIL (APLICAÇÃO)                       ,388592,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,26/01/2026 00:00,ARRECADACAO         ,"34,38",BANCO DO BRASIL (APLICAÇÃO)                       ,388593,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,26/01/2026 00:00,ARRECADACAO         ,"357,66",BANCO DO BRASIL (APLICAÇÃO)                       ,388594,2026,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,30/01/2026 00:00,ARRECADACAO         ,"103,28",BANCO DO BRASIL (APLICAÇÃO)                       ,388888,2026,paulinia,camara,SMARAPD Câmara de Paulínia
