unidade_gestora,natureza_receita,conta_contabil,descricao_receita,data_movimentacao,operacao,valor,nome_banco,id,ano,municipio,entidade,fonte
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,13/01/2023 00:00,ARRECADACAO         ,"337,50",BANCO DO BRASIL C/MOV.                            ,55655,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,17/01/2023 00:00,ARRECADACAO         ,"101,87",BANCO DO BRASIL C/MOV.                            ,55667,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.001 ,EMPRÉSTIMO BANCO DO BRASIL                        ,27/01/2023 00:00,ARRECADACAO         ,"1.238,43",BANCO DO BRASIL C/MOV.                            ,55731,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.001 ,EMPRÉSTIMO BANCO DO BRASIL                        ,27/01/2023 00:00,ARRECADACAO         ,"7.664,20",BANCO DO BRASIL C/MOV.                            ,55742,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.001 ,EMPRÉSTIMO BANCO DO BRASIL                        ,27/01/2023 00:00,ARRECADACAO         ,"29.029,57",BANCO DO BRASIL C/MOV.                            ,55748,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,12/01/2023 00:00,ARRECADACAO         ,"77,23",BANCO DO BRASIL C/MOV.                            ,55637,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,27/01/2023 00:00,ARRECADACAO         ,"903,99",BANCO DO BRASIL C/MOV.                            ,55728,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,27/01/2023 00:00,ARRECADACAO         ,"4.279,20",BANCO DO BRASIL C/MOV.                            ,55740,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.02.002 ,I.N.S.S - RETENÇÃO PESSOA JURIDICA                ,13/01/2023 00:00,ARRECADACAO         ,"2.684,99",BANCO DO BRASIL C/MOV.                            ,55658,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.02.002 ,I.N.S.S - RETENÇÃO PESSOA JURIDICA                ,20/01/2023 00:00,ARRECADACAO         ,"4.680,42",BANCO DO BRASIL C/MOV.                            ,55680,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,13/01/2023 00:00,ARRECADACAO         ,"177,56",BANCO DO BRASIL C/MOV.                            ,55653,2023,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,13/01/2023 00:00,ARRECADACAO         ,"304,64",BANCO DO BRASIL C/MOV.                            ,55654,2023,paulinia,camara,SMARAPD Câmara de Paulínia
