municipio,orgao,ano,mes,mes_nome,total_mensal,arquivo_origem,fonte,tipo
sorocaba,Urbes,2014,11,Nov,12533.64,relacao_mensal_despesas_2014_20140217122433lei8890-v2014.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2014,12,Dez,9621.4,relacao_mensal_despesas_2014_20140217122433lei8890-v2014.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,1,Jan,5800.19,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,2,Fev,11791.6,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,3,Mar,16244.41,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,4,Abr,12068.35,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,5,Mai,7716.43,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,6,Jun,12177.17,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,7,Jul,9212.76,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,8,Ago,8599.63,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,9,Set,8403.98,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,10,Out,8790.13,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,11,Nov,5965.51,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2015,12,Dez,15914.51,relacao_mensal_despesas_2015_20151210153856lei-8890-2015.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,1,Jan,5738.5,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,2,Fev,12914.73,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,3,Mar,7106.07,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,4,Abr,12866.13,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,5,Mai,12690.41,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,6,Jun,6444.69,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,7,Jul,6013.69,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,8,Ago,20156.78,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,9,Set,5137.63,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,10,Out,5854.52,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,11,Nov,11559.78,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2016,12,Dez,13819.47,relacao_mensal_despesas_2016_20160711083235ca-sup3-pia-de-lei88.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
