subpasta,arquivo,paginas_ocr,chars,status_ocr,numero_contrato,cnpj,valor,data_assinatura
contratos_outros,202201004173123_0023-2022_contrato.pdf,3,7000,ok,23/22,50.333.699/0001-80,"141.525,00",
contratos_outros,202201005160415_0024-2022_contrato.pdf,3,7746,ok,9/4/99,50.333.699/0001-80,"314.925,00",
contratos_outros,20220525122022_0011-2022_contrato-inicial.pdf,3,7483,ok,,50.333.699/0001-80,"67.725,00",21 de janeiro de 2022
contratos_outros,20220603160127_0012-2022_contrato-n-012-22.pdf,3,7012,ok,12/22,50.333.699/0001-80,"29.575,00",
contratos_outros,20220603162600_0013-2022_contrato-n-13-22.pdf,3,7665,ok,13/99,50.333.699/0001-80,"109.392,00",
contratos_outros,20220603163336_0014-2022_contrato-n-014-22.pdf,3,7872,ok,4//29,50.333.699/0001-80,"39.000,00",
contratos_outros,20220712094844_0015-2022_contrato-n-015-22.pdf,3,5149,ok,,,"49.996,80",10 de maio de 2022
contratos_outros,20220801162239_0010-2022_ordem-de-servico.pdf,3,5149,ok,,,"49.996,80",10 de maio de 2022
contratos_outros,20220928174227_0015-2022_1-aditivo.pdf,3,5826,ok,015/22,50.333.699/0001-80,,21 de janeiro de 2022
contratos_outros,202301106145821_0043-2023_ordem-de-servico.pdf,3,6787,ok,,,"32.000,00",
contratos_outros,20230227115446_0035-2022_contrato.pdf,3,7191,ok,035/22,50.333.699/0001-80,"435.000,00","21 de
janeiro de 2022"
contratos_outros,20230327142637_0008-2023_contrato.pdf,3,7364,ok,08/23,50.333.699/0001-80,,06 de março de 2023
contratos_outros,20230526115009_0011-2022_1-aditivo-do-contrato.pdf,3,5558,ok,11/22,50.333.699/0001-80,,21 de janeiro de 2022
contratos_outros,20230607171028_0023-2022_contrato.pdf,3,6975,ok,19/973,50.333.699/0001-80,"212.532,50",
contratos_outros,20230607171432_0020-2023_contrato.pdf,3,7488,ok,20,50.333.699/0001-80,"646.657,50",
contratos_outros,202401003103831_0032-2024_contrato.pdf,3,6969,ok,32,50.333.699/0001-80,,21 de janeiro de 2022
contratos_outros,20240103133330_0035-2022_2-aditivo.pdf,3,5894,ok,35/22,50.333.699/0001-80,4531250,"19 de
dezembro de 2022"
contratos_outros,202501008105621_0039-2023_1-aditivo.pdf,3,5875,ok,039/23,50.333.699/0001-80,"161,07",01 de setembro de 2025
contratos_outros,20250124122935_0050-2024_contrato.pdf,3,6746,ok,50,50.333.699/0001-80,,
contratos_outros,20250711165155_0034-2022_1-aditivo.pdf,3,5699,ok,34/22,50.333.699/0001-80,"5.962,96",19 de dezembro de 2022
contratos_outros,20250714141823_0013-2025_contrato.pdf,3,7080,ok,13/25,50.333.699/0001-80,"7.920,00",30 de junho de 2025
contratos_outros,20250925092739_0049-2023_2-termo-aditivo.pdf,3,5622,ok,49/23,50.333.699/0001-80,"43.900,00",15 de fevereiro de 2025
contratos_outros,20260127083333_0035-2022_4-aditivo.pdf,3,5620,ok,35/22,50.333.699/0001-80,,20 de dezembro de 2025
contratos_outros,203408105047_0035-2022_1-aditivo.pdf,3,5687,ok,35/22,50.333.699/0001-80,"108.750,00",21 de janeiro de  2022
contratos_outros,203408105732_0039-2023_contrato.pdf,3,7366,ok,039/23,50.333.699/0001-80,,21 de janeiro de 2022
contratos_outros,20670215_0049-2023_contrato.pdf,3,7639,ok,,50.333.699/0001-80,"175.500,00",
contratos_outros,212109_0048-2023_contrato.pdf,3,7556,ok,48-23,50.333.699/0001-80,"58.820,00",
contratos_outros,212306_0035-2022_3-aditivo.pdf,3,5380,ok,035/22,50.333.699/0001-80,,21 de janeiro de 2022
contratos_outros,2138_0028-2022_contrato.pdf,3,7262,ok,28/22,50.333.699/0001-80,"1.380.000,00",
contratos_outros,2151_0049-2023_1-termo-aditivo.pdf,3,5791,ok,49/23,50.333.699/0001-80,,18 de dezembro de 2023
contratos_outros,2161_0034-2022_contrato.pdf,3,7354,ok,34/22,50.333.699/0001-80,"160.999,02",21 de janeiro de 2022
contratos_outros,carta_anual_politicas_governanca_corporativas_2023.pdf,3,5415,ok,,,,14 de agosto de 2014
contratos_outros,carta_anual_politicas_governanca_corporativas_2024.pdf,3,5194,ok,,,,14 de agosto de 2014
contratos_outros,carta_anual_politicas_governanca_corporativas_2025.pdf,3,4440,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2018.pdf,3,6333,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2019.pdf,3,5473,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2020.pdf,3,6162,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2021.pdf,3,4682,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2022.pdf,3,5983,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2023.pdf,3,6261,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2024.pdf,3,5885,ok,,,,14 de agosto de 2014
contratos_outros,carta_governanca_2025.pdf,3,6103,ok,,,,14 de agosto de 2014
contratos_outros,Relatorio_Anual_Integrado_2021.pdf,3,4981,ok,,,,
contratos_outros,Relatorio_Anual_Integrado_2022.pdf,3,4102,ok,,,,
contratos_outros,Relatorio_Anual_Integrado_2023.pdf,3,4692,ok,,,,
contratos_outros,Relatorio_Anual_Integrado_2024.pdf,3,4754,ok,,,,
contratos_outros,Relatorio_Anual_Integrado_2025.pdf,3,4498,ok,,,,
