coletado_em,categoria,subcategoria,ano,periodo,titulo,url_pagina,url_arquivo,arquivo_raw,tamanho_bytes,status_download
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2025,2025-10,Balancete Outubro/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Outubro_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2025-10_balanco_patrimonial_outubro_2025.pdf,8201,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2025,2025-11,Balancete Novembro/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Novembro_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2025-11_balanco_patrimonial_novembro_2025.pdf,8197,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2025,2025-12,Balancete Dezembro/2025,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Dezembro_2025.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2025-12_balanco_patrimonial_dezembro_2025.pdf,8197,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-01,Balancete Janeiro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Janeiro2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-01_balanco_patrimonial_janeiro2024.pdf,8379,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-02,Balancete Fevereiro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Fevereiro2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-02_balanco_patrimonial_fevereiro2024.pdf,8445,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-03,Balancete Março/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Marco2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-03_balanco_patrimonial_marco2024.pdf,8451,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-04,Balancete Abril/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Abril2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-04_balanco_patrimonial_abril2024.pdf,8413,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-05,Balancete Maio/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_maio_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-05_balanco_patrimonial_maio_2024.pdf,8405,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-06,Balancete Junho/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_junho_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-06_balanco_patrimonial_junho_2024.pdf,8405,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-07,Balancete Julho/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_julho_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-07_balanco_patrimonial_julho_2024.pdf,8392,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-08,Balancete Agosto/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_agosto_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-08_balanco_patrimonial_agosto_2024.pdf,8413,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-09,Balancete Setembro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Setembro_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-09_balanco_patrimonial_setembro_2024.pdf,8420,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-10,Balancete Outubro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Outubro_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-10_balanco_patrimonial_outubro_2024.pdf,8429,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-11,Balancete Novembro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Novembro_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-11_balanco_patrimonial_novembro_2024.pdf,8475,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2024,2024-12,Balancete Dezembro/2024,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Dezembro_2024.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2024-12_balanco_patrimonial_dezembro_2024.pdf,8407,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-01,Balancete Janeiro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Jan2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-01_balanco_patrimonial_jan2023.pdf,8345,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-02,Balancete Fevereiro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Fev2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-02_balanco_patrimonial_fev2023.pdf,8477,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-03,Balancete Março/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Mar2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-03_balanco_patrimonial_mar2023.pdf,8310,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-04,Balancete Abril/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Abril2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-04_balanco_patrimonial_abril2023.pdf,8317,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-05,Balancete Maio/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Maio2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-05_balanco_patrimonial_maio2023.pdf,8327,baixado
