Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre
ensino fundamental,"0,00","105.527.381,94","53.828.262,28","51.899.803,31",1
educacao infantil,"0,00","183.435.107,76","70.646.304,31","70.337.456,48",1
DESPESAS LIQUIDAS DA EDUCACAO,"374.820.488,35","374.808.475,44","210.320.552,33","208.083.245,53",1
ensino fundamental,"0,00","155.889.600,94","120.271.907,18","115.070.065,45",2
educacao infantil,"0,00","219.840.737,78","147.525.245,14","144.314.709,83",2
DESPESAS LIQUIDAS DA EDUCACAO,"524.677.326,79","524.647.989,96","416.714.803,56","408.302.426,52",2
ensino fundamental,"0,00","225.119.607,65","200.534.869,79","200.299.224,54",3
educacao infantil,"0,00","252.157.134,83","209.954.686,67","209.579.294,05",3
DESPESAS LIQUIDAS DA EDUCACAO,"692.156.424,43","692.120.593,72","625.333.407,70","624.722.369,83",3
ensino fundamental,"0,00","316.662.951,78","314.031.646,83","311.321.957,21",4
educacao infantil,"0,00","264.836.912,32","262.036.772,20","262.030.938,08",4
DESPESAS LIQUIDAS DA EDUCACAO,"860.375.894,47","860.336.632,96","854.905.187,89","852.189.664,15",4
