ano,municipio_codigo_sefaz_sp,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url,data_coleta_utc
2024,1004,Sao Paulo,mensal,Janeiro,1,699890249.72,1679231608.83,4633861.91,1802845.35,2385558565.81,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Fevereiro,2,533847623.46,647661851.92,3582103.72,1832296.60,1186923875.71,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Março,3,598159337.83,451313250.79,3851390.91,1627120.13,1054951099.66,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Abril,4,726582343.88,418085960.28,5268881.94,1535379.67,1151472565.78,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Maio,5,571485549.45,367794835.40,3928614.11,1839496.65,945048495.61,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Junho,6,646921020.99,127049026.73,4974913.02,50657.31,778995618.05,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Julho,7,763519825.62,142035124.68,5584795.45,2008660.10,913148405.85,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Agosto,8,604278953.68,137305982.38,6027091.72,1940719.72,749552747.50,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Setembro,9,473878654.56,129434119.25,5040869.35,3872006.34,612225649.49,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Outubro,10,921492467.41,125756492.23,7053965.58,2040948.96,1056343874.18,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Novembro,11,665067096.64,91425363.18,5061507.92,0.00,761553967.74,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,mensal,Dezembro,12,827655006.16,126832191.82,6950631.83,3708424.77,965146254.58,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
2024,1004,Sao Paulo,total_anual,Total,99,8032778129.40,4443925807.49,61958627.47,22258555.61,12560921119.97,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx,2026-08-17T03:04:49.927591+00:00
