Quadrimestre,SUS_Total_Previsao,SUS_Total_Arrecadado,SUS_Uniao_Previsao,SUS_Uniao_Arrecadado,SUS_Estados_Previsao,SUS_Estados_Arrecadado,Percentual_ASPS,Fonte_PDF
1,"165171692,62","54992943,73","158662341,29","51961762,04","6461911,02","3009496,73","23,97",rreo_2023_2bimestre.pdf
2,"187937568,78","131970985,44","169276137,60","115600005,81","18599874,19","16321983,21","24,84",rreo_2023_4bimestre.pdf
3,"217020993,05","217020993,05","181628964,86","181628964,86","35338019,09","35338019,09","26,45",rreo_2023_6bimestre.pdf
