Quadrimestre,SUS_Total_Previsao,SUS_Total_Arrecadado,SUS_Uniao_Previsao,SUS_Uniao_Arrecadado,SUS_Estados_Previsao,SUS_Estados_Arrecadado,Percentual_ASPS,Fonte_PDF
1,"200429560,39","92424411,39","169180585,85","64936206,85","31197282,90","27478404,90","27,94",rreo_2024_2bimestre.pdf
2,"306426490,28","251831389,28","224499127,32","172322295,32","81902334,08","79488649,08","28,07",rreo_2024_4bimestre.pdf
3,"350647760,30","350647760,30","244429271,64","244429271,64","106187031,01","106187031,01","27,77",rreo_2024_6bimestre.pdf
