Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Saude_Previsao,Minimo_Saude_Arrecadado,Percentual_Aplicado_Liquidado
1,"1.637.214.189,22","561.200.955,22","135.711.104,11","47.955.536,48","1.274.030.149,86","502.230.456,84","3.046.955.443,19","1.111.386.948,54","457.043.316,47","166.708.042,28","17,95"
2,"1.626.973.266,92","1.083.843.187,92","138.634.579,32","94.512.256,19","1.270.401.322,76","868.536.061,92","3.036.009.169,00","2.046.891.506,03","455.401.375,35","307.033.725,90","21,10"
3,"1.642.018.267,05","1.642.018.267,05","140.609.184,54","140.574.042,64","1.265.963.904,50","1.253.609.806,84","3.048.591.356,09","3.036.202.116,53","457.288.703,41","455.430.317,47","22,60"
