Quadrimestre,SUS_Total_Previsao,SUS_Total_Arrecadado,SUS_Uniao_Previsao,SUS_Uniao_Arrecadado,SUS_Estados_Previsao,SUS_Estados_Arrecadado,Percentual_ASPS,Fonte_PDF
1,"164760851,86","69156040,25","153701195,64","60431480,86","11059656,22","8724559,39","27,21",rreo_2020_2bimestre.pdf
2,"188796985,23","143307180,08","175488233,08","131136334,61","13308752,15","12170845,47","28,64",rreo_2020_4bimestre.pdf
3,"200979247,05","202029247,05","186618865,97","187668865,97","14360381,08","14360381,08","27,80",rreo_2020_6bimestre.pdf
