Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Saude_Previsao,Minimo_Saude_Arrecadado,Percentual_Aplicado_Liquidado
1,"815.103.615,45","290.210.922,04","71.095.405,20","24.749.301,52","785.139.166,66","286.184.463,50","1.671.338.187,31","601.144.687,06","250.700.728,09","90.171.703,05","27,21"
2,"793.313.170,13","531.647.284,67","66.908.159,72","43.157.139,35","723.514.301,63","465.497.591,56","1.583.735.631,48","1.040.302.015,58","237.560.344,72","156.045.302,33","28,64"
3,"814.894.204,16","814.894.204,16","66.765.062,33","65.640.279,63","722.255.684,04","709.643.863,09","1.603.914.950,53","1.590.178.346,88","240.587.242,57","238.526.752,03","27,04"
