Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
administracao geral,"53.642.713,00","15.675.868,10","13.367.145,73","13.073.550,09",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"293.995.983,81","100.627.753,12","87.220.205,13","84.028.868,39",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"409.070.838,79","296.523.439,19","89.615.687,58","88.441.380,91",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"14.000.000,00","1.064.103,17","455.859,66","455.859,66",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"3.304.577,00","949.453,23","938.935,44","878.731,29",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"36.338.984,00","9.424.987,35","7.939.663,20","7.597.869,49",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"1.000,00","0,00","0,00","0,00",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"810.354.096,60","424.265.604,16","199.537.496,74","194.476.259,83",1,2025-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
administracao geral,"46.261.888,80","31.091.260,73","26.720.363,29","26.458.245,31",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"285.483.560,99","204.091.251,31","174.536.200,33","171.272.667,57",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"423.851.980,18","384.746.177,84","210.703.139,76","209.433.781,35",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"1.529.477,71","1.459.094,84","1.057.348,27","1.057.348,27",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"3.576.236,68","2.729.731,81","2.314.040,86","2.246.720,31",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"27.349.349,55","19.501.313,90","16.619.046,46","16.281.450,42",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"1.000,00","0,00","0,00","0,00",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"788.053.493,91","643.618.830,43","431.950.138,97","426.750.213,23",2,2025-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
administracao geral,"39.520.077,07","39.124.063,00","39.043.978,83","38.570.652,52",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"280.656.661,04","275.959.438,28","274.689.454,40","268.969.077,54",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"393.318.361,35","372.894.033,10","338.775.528,51","336.566.705,08",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"3.152.279,83","2.235.928,30","2.031.580,37","2.031.580,37",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"3.982.756,76","3.966.634,65","3.966.634,65","3.859.900,33",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"28.573.004,29","27.919.544,89","27.909.576,20","27.286.712,01",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"1.000,00","0,00","0,00","0,00",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"749.204.140,34","722.099.642,22","686.416.752,96","677.284.627,85",3,2025-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
