Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre,Fonte_PDF
administracao geral,"0,00","0,00","0,00","0,00",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"336.867.646,40","324.708.775,61","126.302.307,04","116.472.948,03",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"78.853.998,00","71.180.801,55","37.302.926,69","36.447.388,58",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"0,00","0,00","0,00","0,00",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"0,00","0,00","0,00","0,00",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"0,00","0,00","0,00","0,00",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"0,00","0,00","0,00","0,00",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"415.721.644,40","395.889.577,16","163.605.233,73","152.920.336,61",1,2020-primeiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
administracao geral,"0,00","0,00","0,00","0,00",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"323.454.145,15","315.614.981,68","223.224.087,00","211.441.363,11",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"114.999.390,89","113.214.298,62","74.811.777,64","74.700.908,67",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"0,00","0,00","0,00","0,00",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"0,00","0,00","0,00","0,00",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"0,00","0,00","0,00","0,00",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"0,00","0,00","0,00","0,00",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"438.453.536,04","428.829.280,30","298.035.864,64","286.142.271,78",2,2020-segundo-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
administracao geral,"0,00","0,00","0,00","0,00",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
atencao basica,"321.556.839,76","308.352.768,01","304.115.261,98","302.416.797,99",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
assistencia hospitalar e ambulatorial,"135.458.699,99","133.759.983,09","125.915.955,50","125.915.955,50",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
suporte profilatico e terapeutico,"0,00","0,00","0,00","0,00",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia sanitaria,"0,00","0,00","0,00","0,00",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
vigilancia epidemiologica,"0,00","0,00","0,00","0,00",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
alimentacao e nutricao,"0,00","0,00","0,00","0,00",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
DESPESAS LIQUIDAS DA SAUDE,"457.015.539,75","442.112.751,10","430.031.217,48","428.332.753,49",3,2020-terceiro-quadrimestre-relatorios-de-aplicacao-na-saude.pdf
