Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Saude_Previsao,Minimo_Saude_Arrecadado,Percentual_Aplicado_Liquidado
1,"847.003.567,62","333.087.162,39","73.594.094,06","29.676.946,83","819.441.086,05","334.255.908,46","1.740.038.747,73","697.020.017,68","261.005.812,15","104.553.002,65","21,36"
2,"898.268.189,51","635.201.630,26","81.080.459,00","58.094.526,48","856.603.281,44","595.737.101,93","1.835.951.929,95","1.289.033.258,67","275.392.789,49","193.354.988,80","25,08"
3,"948.417.185,47","948.417.185,47","88.699.232,11","88.152.424,72","890.747.672,32","868.704.708,08","1.927.864.089,90","1.905.274.318,27","289.179.613,48","285.791.147,74","26,16"
