Categoria,Conta,Valor
proprios,IPTU,293734996.22
proprios,ISS,895343053.36
proprios,ITBI,134549123.45
proprios,IRRF,318391094.02
federais,Cota-Parte do FPM,157245670.33
estaduais,Cota-Parte do ICMS,960260064.63
estaduais,Cota-Parte do IPVA,286420363.22
federais,Cota-Parte do ITR,586330.11
estaduais,IPI - Exportações (LC 61/1989),6929378.99
