ano_coleta,fonte_url_pagina,BLOCO,GRUPO,ESTRATÉGIA,UF,MUNICIPIO,CO_MUNICIPIO_IBGE,QT_POPULACAO,NU_ANO_REFERENCIA_IBGE,CNPJ,ENTIDADE,BANCO,AGENCIA,CONTA,TP_REPASSE,TP_REPASSE_ESTADO,ST_FAF,ST_HU,DT_ULTIMA_LIBERACAO,VL_BRUTO,VL_LIQUIDO,VL_SALDO_CONTA,DT_SALDO_CONTA
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO BÁSICA,PROGRAMA DE INFORMATIZAÇÃO DA APS,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,2/12/2020,246500,246500,"41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,ATENÇÃO À SAÚDE DA POPULAÇÃO PARA PROCEDIMENTOS NO MAC,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,1/07/2020,"62380589,69","59765485,75",0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,ATENÇÃO À SAÚDE DA POPULAÇÃO PARA PROCEDIMENTOS NO MAC,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,4/12/2020,"44931623,81","42982398,51","41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FAEC - CIRURGIAS ELETIVAS,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,13/07/2020,"5976,15","5976,15",0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,FAEC - CIRURGIAS ELETIVAS,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,12/08/2020,"1992,05","1992,05","41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,"FAEC - TRANSPLANTES DE ORGÃOS, TECIDOS E CELULAS",SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,16/12/2020,"2368831,33","2368831,33","41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,"FAEC - TRANSPLANTES DE ORGÃOS, TECIDOS E CELULAS",SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,13/07/2020,"3586085,06","3388658,16",0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,INCREMENTO TEMPORÁRIO AO CUSTEIO DOS SERVIÇOS DE ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,30/04/2020,2300000,2300000,0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,SAMU 192,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,4/08/2020,1857800,1857800,0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),ATENÇÃO DE MÉDIA E ALTA COMPLEXIDADE AMBULATORIAL E HOSPITALAR,SAMU 192,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,4/12/2020,928900,928900,"41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),CORONAVÍRUS (COVID-19),CORONAVÍRUS (COVID-19),SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,14/07/2020,"19170691,73","19170691,73",0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),CORONAVÍRUS (COVID-19),CORONAVÍRUS (COVID-19),SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,29/10/2020,12029249,12029249,"41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),CORONAVÍRUS (COVID-19),CORONAVÍRUS (COVID-19) - SAES,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,104,003565,0066240211,MUNICIPAL,N,S,N,3/06/2020,"4990206,97","4990206,97",0,31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),CORONAVÍRUS (COVID-19),CORONAVÍRUS (COVID-19) - SAPS,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,24/12/2020,2213712,2213712,"41861816,45",31/12/2020
2020,https://portalfns.saude.gov.br/wp-content/uploads/2021/12/REPASSE-FAF-COM-POPULACAO-2020.csv,Manutenção das Ações e Serviços Públicos de Saúde (CUSTEIO),CORONAVÍRUS (COVID-19),CORONAVIRUS (COVID-19) - SCTIE,SP,SOROCABA,355220,695328,2021,12493507000103,FUNDO MUNICIPAL DE SAUDE DE SOROCABA,001,029238,000000470090,MUNICIPAL,N,S,N,30/09/2020,"2103312,42","2103312,42","41861816,45",31/12/2020
