Funcao,Dotacao_Atualizada,Empenhada,Liquidada,Paga,Quadrimestre
administracao geral,"91.140.559,75","27.446.611,81","10.547.787,70","9.822.733,45",1
atencao basica,"471.755.645,90","148.240.366,69","58.657.136,28","52.199.510,88",1
assistencia hospitalar e ambulatorial,"784.283.978,63","233.972.543,55","103.951.289,50","101.950.641,36",1
suporte profilatico e terapeutico,"22.341.874,21","4.878.969,78","623.452,46","595.791,46",1
vigilancia sanitaria,"14.291.549,28","4.668.815,29","2.008.449,32","1.929.214,38",1
vigilancia epidemiologica,"72.302.267,77","22.843.628,38","5.673.094,54","4.773.866,65",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00",1
DESPESAS LIQUIDAS DA SAUDE,"1.456.115.875,54","442.050.935,50","181.461.209,80","171.271.758,18",1
administracao geral,"28.911.560,03","26.356.493,70","20.554.278,36","19.589.702,03",2
atencao basica,"178.146.334,24","159.545.709,76","130.301.673,58","117.321.185,53",2
assistencia hospitalar e ambulatorial,"340.732.626,44","339.308.922,59","247.749.815,25","226.962.027,55",2
suporte profilatico e terapeutico,"4.680.416,89","4.606.203,38","2.561.141,26","2.501.143,54",2
vigilancia sanitaria,"5.093.528,91","5.091.378,90","3.495.043,44","3.379.025,76",2
vigilancia epidemiologica,"23.178.656,53","22.948.558,27","13.403.128,18","12.322.464,41",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00",2
DESPESAS LIQUIDAS DA SAUDE,"580.743.123,04","557.857.266,60","418.065.080,07","382.075.548,82",2
administracao geral,"30.592.028,20","30.462.352,20","30.434.388,47","30.331.496,30",3
atencao basica,"206.360.287,46","196.419.113,69","196.317.962,43","194.378.714,15",3
assistencia hospitalar e ambulatorial,"348.097.985,46","347.882.429,46","347.126.260,16","346.794.752,16",3
suporte profilatico e terapeutico,"4.454.980,65","4.454.980,65","4.211.521,55","4.211.521,55",3
vigilancia sanitaria,"5.478.393,85","5.478.393,85","5.478.393,85","5.430.672,82",3
vigilancia epidemiologica,"18.351.855,95","17.617.914,46","17.617.914,46","17.498.593,19",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00",3
DESPESAS LIQUIDAS DA SAUDE,"613.335.531,57","602.315.184,31","601.186.440,92","598.645.750,17",3
