Funcao,ASPS_Empenhada,ASPS_Liquidada,ASPS_Paga,SUS_Empenhada,SUS_Liquidada,SUS_Paga,Total_Empenhada,Total_Liquidada,Total_Paga,Quadrimestre
atencao basica,"100627753,12","87220205,13","84028868,39","26485097,99","7815393,24","7488721,38","127112851,11","95035598,37","91517589,77",1
assistencia hospitalar e ambulatorial,"296523439,19","89615687,58","88441380,91","190768515,40","122237936,45","122234019,18","487291954,59","211853624,03","210675400,09",1
suporte profilatico e terapeutico,"1064103,17","455859,66","455859,66","3063085,37","1366062,32","1366062,32","4127188,54","1821921,98","1821921,98",1
vigilancia sanitaria,"949453,23","938935,44","878731,29","94268,00","268,00","268,00","1043721,23","939203,44","878999,29",1
vigilancia epidemiologica,"9424987,35","7939663,20","7597869,49","4628109,19","2519539,44","2479483,55","14053096,54","10459202,64","10077353,04",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
outras subfuncoes,"15675868,10","13367145,73","13073550,09","0,00","0,00","0,00","15675868,10","13367145,73","13073550,09",1
TOTAL,"424265604,16","199537496,74","194476259,83","225039075,95","133939199,45","133568554,43","649304680,11","333476696,19","328044814,26",1
atencao basica,"204091251,31","174536200,33","171272667,57","46917625,50","21476893,93","21382720,85","251008876,81","196013094,26","192655388,42",2
assistencia hospitalar e ambulatorial,"384746177,84","210703139,76","209433781,35","312732134,38","212040065,25","207932200,75","697478312,22","422743205,01","417365982,10",2
suporte profilatico e terapeutico,"1459094,84","1057348,27","1057348,27","4909116,39","3516335,81","3516335,81","6368211,23","4573684,08","4573684,08",2
vigilancia sanitaria,"2729731,81","2314040,86","2246720,31","386437,12","86731,10","86731,10","3116168,93","2400771,96","2333451,41",2
vigilancia epidemiologica,"19501313,90","16619046,46","16281450,42","7619855,91","5803062,30","5787062,30","27121169,81","22422108,76","22068512,72",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
outras subfuncoes,"31091260,73","26720363,29","26458245,31","800,00","737,92","0,00","31092060,73","26721101,21","26458245,31",2
TOTAL,"643618830,43","431950138,97","426750213,23","372565969,30","242923826,31","238705050,81","1016184799,73","674873965,28","665455264,04",2
atencao basica,"275959438,28","274689454,40","268969077,54","49424469,48","46684410,47","46684410,47","325383907,76","321373864,87","315653488,01",3
assistencia hospitalar e ambulatorial,"372894033,10","338775528,51","336566705,08","329028668,13","317824240,34","317824240,34","701922701,23","656599768,85","654390945,42",3
suporte profilatico e terapeutico,"2235928,30","2031580,37","2031580,37","6391120,57","6391120,57","6391120,57","8627048,87","8422700,94","8422700,94",3
vigilancia sanitaria,"3966634,65","3966634,65","3859900,33","187496,69","187496,69","187496,69","4154131,34","4154131,34","4047397,02",3
vigilancia epidemiologica,"27919544,89","27909576,20","27286712,01","8191989,50","8065016,23","8065016,23","36111534,39","35974592,43","35351728,24",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
outras subfuncoes,"39124063,00","39043978,83","38570652,52","2877,89","2877,89","2246,60","39126940,89","39046856,72","38572899,12",3
TOTAL,"722099642,22","686416752,96","677284627,85","393226622,26","379155162,19","379154530,90","1115326264,48","1065571915,15","1056439158,75",3
