arquivo,area,ano,municipio,fonte_url,fonte_arquivo,script_extracao,validado_por,validado_em,sha256_raw,autorizado_por,status,observacao
divida_sao_bernardo_2020.csv,fiscal,2020,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2020_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,32423284bc922cc9fa1b6cdec15df5c139fcf80dea14864aa330c79660d02fb1,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
divida_sao_bernardo_2021.csv,fiscal,2021,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2021_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,0ae7d4719a8e1871c8d23b0fc2d1f76b005b30ff2c7b514f51c4675a59913bd5,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
divida_sao_bernardo_2022.csv,fiscal,2022,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2022_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,11c1ba5f6ae6cfe280198a6e19c1718eb2ceb544624dfc3f3c6812e96520b2a9,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
divida_sao_bernardo_2023.csv,fiscal,2023,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2023_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,c6f9f15dc5e1db1df1d8d9272aca1e70821d96353416215ece8b564edb85d260,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
divida_sao_bernardo_2024.csv,fiscal,2024,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2024_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,3b9509c0c82584fc90b284164b52d5846311f19a204c88832eb5931e7ff9019a,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
divida_sao_bernardo_2025.csv,fiscal,2025,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2025_q3.json,pipelines/extrator_rgf_divida.py,retroativo,2026-06-20,8a7b133211ba6d8ab0a2e520e005cce9375232eae368452c98331b6ff642df57,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2020.csv,fiscal,2020,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2020_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,f3bdb69937154831ba2aad809988cf1d146500987980503aebc77a5a98c938f0,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2021.csv,fiscal,2021,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2021_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,ef90a85e1a017d32dfd0a2c7429010f1034fe9f2e80add52360c5896193e5354,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2022.csv,fiscal,2022,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2022_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,47aedff82ad14f99b8eeb530cdf8b72edcbe65cdb529bef1181ad5ce44584721,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2023.csv,fiscal,2023,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2023_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,b30cfd3a56f5db667da218ca4869abeece2690bb44f0187e73e62c01c2136621,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2024.csv,fiscal,2024,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2024_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,92dcb9809ab76d323e1a202392c6ec9f4c0051f95fdba4307a2494813b7ff5f5,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
pessoal_sao_bernardo_2025.csv,fiscal,2025,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rgf_an2025_q3.json,pipelines/extrator_rgf_pessoal.py,retroativo,2026-06-20,6bae159bf8cdf8c4c27681e17fc3311bcb9b68c733b78cc26fa2a99cf37385a8,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
receitas_sao_bernardo_2020.csv,receita,2020,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2020_bl6.json,pipelines/extrator_receita.py,retroativo,2026-06-20,861dbef71bdd0dc0356a3093d176581a6828e71e1b0351fb5b181467c5a6d7c0,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
receitas_sao_bernardo_2021.csv,receita,2021,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2021_bl6.json,pipelines/extrator_receita.py,retroativo,2026-06-20,0edca9cfd2306b622528a51708caffc4a689a01030e7caf5b31a0638192f75b3,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
receitas_sao_bernardo_2022.csv,receita,2022,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2022_bl6.json,pipelines/extrator_receita.py,retroativo,2026-06-20,8fb97b694d6e1993c9dcb643cd4ad27f2211a6352b3ae2c6af55337088bfa99b,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
receitas_sao_bernardo_2023.csv,receita,2023,sao_bernardo,https://siconfi.tesouro.gov.br/,siconfi_rreo_an2023_bl6.json,pipelines/extrator_receita.py,retroativo,2026-06-20,105622eb452f8391b3010c81860e1681280149b536dc2b7b73445f79993cef4e,mantenedor,retroativo,retroativo: sha256_raw e hash do arquivo extraido; raw SICONFI nao preservado localmente
