ano,competencia,tipo_transferencia,modalidade_transferencia,orgao_superior_codigo,orgao_superior_nome,unidade_gestora_codigo,unidade_gestora_nome,funcao_id,funcao_descricao,acao_id,acao_descricao,valor_transferido,municipio_ibge,municipio_nome,fonte_api
2025,2025-12,Não se aplica,EM EXECUÇÃO,53000,Ministério da Integração e do Desenvolvimento Regional,530023,SEC. NAC. POLIT. DESENV. REG. E TERRITORIAL,-1,Sem informação,981148,Construcao de ponte e pavimentacao na zona rural do municipio de Barra do Ouro-TO,0,1703073,BARRA DO OURO,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2025,2025-12,Não se aplica,EM EXECUÇÃO,53000,Ministério da Integração e do Desenvolvimento Regional,530023,SEC. NAC. POLIT. DESENV. REG. E TERRITORIAL,-1,Sem informação,981361,Aquisicao de maquinas e equipamentos para o municipio de Barra do Ouro-TO.,0,1703073,BARRA DO OURO,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2025,2025-12,Não se aplica,EM EXECUÇÃO,56000,Ministério das Cidades,560018,CAIXA ECONOMICA FEDERAL - FNHIS,16,Habitação,986807,Provisao de Unidades Habitacionais no Municipio de Barra do Ouro/TO,308000.0,1703073,BARRA DO OURO,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
