Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"3.398.666,46","2.980.922,14","2.946.397,14","417.744,32","34.525,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2018&id_ente=3510609
06.181 - Policiamento,"3.398.666,46","2.980.922,14","2.946.397,14","417.744,32","34.525,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2018&id_ente=3510609
