ano,competencia,tipo_transferencia,modalidade_transferencia,orgao_superior_codigo,orgao_superior_nome,unidade_gestora_codigo,unidade_gestora_nome,funcao_id,funcao_descricao,acao_id,acao_descricao,valor_transferido,municipio_ibge,municipio_nome,fonte_api
2024,2024-12,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,130141,"SUBSECRETARIA DE ORCAMENTO,PLANEJAMENTO E ADM",-1,Sem informação,965051,Aquisicao de Maquinas e Equipamentos.,0,2514552,SÃO JOSÉ DE PRINCESA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,56000,Ministério das Cidades,560018,CAIXA ECONOMICA FEDERAL - FNHIS,16,Habitação,970824,Provisao de unidades habitacionais no Municipio de Sao Jose de Princesa/PB.,162500.0,2514552,SÃO JOSÉ DE PRINCESA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
