ano_referencia,mes_referencia,municipio,orgao,secretaria_portal,cargo,quantidade_funcionarios,salario_base_brl,fonte_categoria,fonte_arquivo,fonte_tabela,publicado_em,cobertura,observacao
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CALCETEIRO,1,2820.20,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CARPINTEIRO,6,2820.20,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPARTAMENTO FINANCEIRO,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO AGUA,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO DE ESGOTO,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO DRENAGEM,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO LICITACOES E COMPRAS,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO OPERACIONAL DE INFRAESTRUTURA E MANUTENCAO,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO PLANEJ./PROJ.,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO RECEITA,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
