ano_referencia,mes_referencia,municipio,orgao,tipo_folha,salario_bruto_total_brl,salario_liquido_total_brl,fonte_categoria,fonte_arquivo,fonte_tabela,publicado_em,observacao
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Adiantamento Salarial,264391.48,261935.58,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_45.csv,tabela_45.csv,2026-05-29,total agregado por tipo de folha; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Ferias,778388.89,635737.29,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_45.csv,tabela_45.csv,2026-05-29,total agregado por tipo de folha; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Pagamento Mensal,11360448.61,7493574.32,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_45.csv,tabela_45.csv,2026-05-29,total agregado por tipo de folha; sem nome ou matricula
