Quadrimestre,SUS_Total_Previsao,SUS_Total_Arrecadado,SUS_Uniao_Previsao,SUS_Uniao_Arrecadado,SUS_Estados_Previsao,SUS_Estados_Arrecadado,Percentual_ASPS
1,"290930408,21","101413416,21","200155840,97","71722399,97","90717049,47","29650379,47","17,95"
2,"325162292,57","229007412,57","222128092,47","157816625,47","102980445,58","71141819,58","21,10"
3,"335666025,22","335666025,22","231635714,46","231635714,46","103966166,97","103966166,97","23,78"
