Funcao,ASPS_Empenhada,ASPS_Liquidada,ASPS_Paga,SUS_Empenhada,SUS_Liquidada,SUS_Paga,Total_Empenhada,Total_Liquidada,Total_Paga,Quadrimestre
atencao basica,"260197671,76","85718321,99","77460194,41","16327571,01","2801218,73","2360579,89","276525242,77","88519540,72","79820774,30",1
assistencia hospitalar e ambulatorial,"114087760,37","62053143,40","61068667,91","130162549,99","59357208,86","55886166,69","244250310,36","121410352,26","116954834,60",1
suporte profilatico e terapeutico,"0,00","0,00","0,00","4484327,94","139441,51","139441,51","4484327,94","139441,51","139441,51",1
vigilancia sanitaria,"1097134,17","1097134,17","1033373,47","0,00","0,00","0,00","1097134,17","1097134,17","1033373,47",1
vigilancia epidemiologica,"76940,45","76940,45","76940,45","4065376,12","2161941,15","2158317,95","4142316,57","2238881,60","2235258,40",1
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
outras subfuncoes,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",1
TOTAL,"375459506,75","148945540,01","139639176,24","155039825,06","64459810,25","60544506,04","530499331,81","213405350,26","200183682,28",1
atencao basica,"241581900,74","170216819,44","156389952,66","27472961,25","13668412,66","12633889,34","269054861,99","183885232,10","169023842,00",2
assistencia hospitalar e ambulatorial,"213876362,60","147724455,75","147416700,74","169452225,49","121077032,67","119811200,57","383328588,09","268801488,42","267227901,31",2
suporte profilatico e terapeutico,"0,00","0,00","0,00","5165293,57","1721756,83","1555050,16","5165293,57","1721756,83","1555050,16",2
vigilancia sanitaria,"1816405,65","1816405,65","1771424,56","0,00","0,00","0,00","1816405,65","1816405,65","1771424,56",2
vigilancia epidemiologica,"3587457,39","3565167,40","3434665,77","6212223,95","2987421,39","2962872,02","9799681,34","6552588,79","6397537,79",2
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
outras subfuncoes,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2
TOTAL,"460862126,38","323322848,24","309012743,73","208302704,26","139454623,55","136963012,09","669164830,64","462777471,79","445975755,82",2
atencao basica,"253380201,49","251223038,55","249155112,65","31797095,40","26009305,24","26009305,24","285177296,89","277232343,79","275164417,89",3
assistencia hospitalar e ambulatorial,"242099850,47","238414969,35","237367053,26","178020553,20","170213016,40","170213016,40","420120403,67","408627985,75","407580069,66",3
suporte profilatico e terapeutico,"0,00","0,00","0,00","4004690,48","2931222,62","2931222,62","4004690,48","2931222,62","2931222,62",3
vigilancia sanitaria,"5483648,79","5483648,79","5483648,79","0,00","0,00","0,00","5483648,79","5483648,79","5483648,79",3
vigilancia epidemiologica,"3484455,77","3436455,77","3436455,77","4440168,05","3975712,62","3975712,62","7924623,82","7412168,39","7412168,39",3
alimentacao e nutricao,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
outras subfuncoes,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",3
TOTAL,"504448156,52","498558112,46","495442270,47","218262507,13","203129256,88","203129256,88","722710663,65","701687369,34","698571527,35",3
