ano,data_sessao,numero_sessao,tipo_sessao,numero_pl,tipo_pl,ementa,resultado_geral,vereador,partido,voto
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,HELDER PEREIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,GIBI PROFESSOR,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,JOSÉ SOARES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,LUCAS BARROS,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,MESSIAS BRITO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 214/2026,MOÇÃO,"“DE APLAUSOS E RECONHECIMENTO AO SETOR DE URGÊNCIA, EMERGÊNCIA E RETAGUARDA DO HOSPITAL MUNICIPAL DE PAULÍNIA, EM RECONHECIMENTO AO EXCELENTE ATENDIMENTO PRESTADO À MUNÍCIPE SRA. FRANCISCA ALVES VIEIRA.”",Aprovado,SARGENTO CAMARGO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,JUNINHO LALUPE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,TIGUILA PAES,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,ALEX EDUARDO,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,ANDERSON HENRIQUE,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,CARLOS KUKA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,NECO VIEIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,DOUGLAS GUARITA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,FABIO DA VAN,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,FABIO VALADÃO,PL,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,FLÁVIO XAVIER,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,HELDER PEREIRA,,A favor
2026,11/08/2026,25,Ordinária,Moção Nº 213/2026,MOÇÃO,“DE APLAUSOS E CONGRATULAÇÕES AO SENHOR FERNANDO RODRIGUES PEREIRA.”,Aprovado,GIBI PROFESSOR,,A favor
