Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"60.479.851,51","59.806.952,20","57.821.946,45","672.899,31","1.985.005,75",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548708
06.122 - Administração Geral,"960.372,35","954.216,99","949.864,46","6.155,36","4.352,53",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548708
06.181 - Policiamento,"46.276.947,66","45.664.424,95","44.833.777,58","612.522,71","830.647,37",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548708
06.182 - Defesa Civil,"840.178,88","785.957,64","768.918,07","54.221,24","17.039,57",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3548708
