ano,municipio,ibge6,percentual_asps,despesa_saude_total,receita_impostos,despesa_saude_por_hab,pct_transferencias_sus,limite_constitucional_pct,situacao,fase
2015,sao_bernardo,354870,21.36,384192453.70,1798695173.78,681150597.62,44.19,15,cumprido,previsto
2016,sao_bernardo,354870,22.61,414218459.61,1831864409.64,712493447.97,40.26,15,cumprido,previsto
2017,sao_bernardo,354870,22.49,415541344.50,1847777362.61,713301954.72,40.89,15,cumprido,previsto
2018,sao_bernardo,354870,24.32,451525321.37,1856631438.90,826594079.54,35.34,15,cumprido,previsto
2019,sao_bernardo,354870,21.76,422697180.27,1942404229.98,781979967.87,39.26,15,cumprido,previsto
2020,sao_bernardo,354870,26.38,507966636.41,1925933238.54,1078455806.50,52.58,15,cumprido,previsto
2021,sao_bernardo,354870,25.73,599953708.69,2331450485.64,1180876019.18,47.23,15,cumprido,previsto
2022,sao_bernardo,354870,24.06,643347804.11,2674029234.49,1192050442.79,39.52,15,cumprido,previsto
2023,sao_bernardo,354870,24.79,702537989.90,2833961826.06,1248315554.73,36.88,15,cumprido,previsto
2024,sao_bernardo,354870,22.14,685804701.92,3097220243.50,1248363377.82,42.42,15,cumprido,previsto
2025,sao_bernardo,354870,21.51,704914028.12,3277694907.08,1302256520.99,43.98,15,cumprido,previsto
