ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2,0,ANSELMO ROLIM NETO,158.43,226.51,2.98,,387.92,
3,0,ANSELMO ROLIM NETO,145.52,433.28,,,578.80,
4,0,ANSELMO ROLIM NETO,125.58,,12.03,,137.61,
5,0,ANSELMO ROLIM NETO,158.05,107.63,,265.68,,
6,0,ANSELMO ROLIM NETO,158.52,148.49,152.49,,459.50,
7,0,ANSELMO ROLIM NETO,164.92,159.21,18.18,,342.31,
8,0,ANSELMO ROLIM NETO,152.46,236.74,,389.20,,
9,0,ANSELMO ROLIM NETO,127.32,228.05,,,355.37,
10,0,ANSELMO ROLIM NETO,133.90,111.84,70.12,,315.86,
11,0,ANSELMO ROLIM NETO,130.18,120.32,30.07,,280.57,
12,0,ANSELMO ROLIM NETO,125.04,261.91,5.73,,392.68,
2,0,ANTÔNIO CARLOS SILVANO JUNIOR,264.82,,29.19,,294.01,
3,0,ANTÔNIO CARLOS SILVANO JUNIOR,246.11,,498.76,555.56,1300.43,
4,0,ANTÔNIO CARLOS SILVANO JUNIOR,168.93,,152.03,,320.96,
5,0,ANTÔNIO CARLOS SILVANO JUNIOR,213.44,,24.13,237.57,,
6,0,ANTÔNIO CARLOS SILVANO JUNIOR,197.78,,,,197.78,
7,0,ANTÔNIO CARLOS SILVANO JUNIOR,314.16,,,554.04,868.20,
8,0,ANTÔNIO CARLOS SILVANO JUNIOR,192.02,352.54,252.13,570.00,1366.69,
9,0,ANTÔNIO CARLOS SILVANO JUNIOR,215.04,125.61,,561.64,902.29,
10,0,ANTÔNIO CARLOS SILVANO JUNIOR,219.34,,174.98,273.60,667.92,
11,0,ANTÔNIO CARLOS SILVANO JUNIOR,218.26,,185.67,,403.93,
12,0,ANTÔNIO CARLOS SILVANO JUNIOR,201.85,,35.38,,237.23,
2,0,CINTIA DE ALMEIDA,194.82,142.22,73.77,,410.81,
3,0,CINTIA DE ALMEIDA,172.06,76.37,172.53,117.45,538.41,
4,0,CINTIA DE ALMEIDA,181.77,,35.28,241.22,458.27,
5,0,CINTIA DE ALMEIDA ¹,62.26,,142.82,94.30,299.38,
2,0,FAUSTO SALVADOR PERES,212.71,138.18,151.66,98.04,600.59,
3,0,FAUSTO SALVADOR PERES,162.22,142.39,31.40,71.25,407.26,
4,0,FAUSTO SALVADOR PERES,142.13,115.61,42.13,,299.87,
5,0,FAUSTO SALVADOR PERES,145.89,105.22,109.86,101.84,462.81,
6,0,FAUSTO SALVADOR PERES,175.72,,73.22,140.65,389.59,
7,0,FAUSTO SALVADOR PERES,341.24,116.14,285.33,347.32,1090.03,
8,0,FAUSTO SALVADOR PERES,207.43,111.15,55.58,43.32,417.48,
9,0,FAUSTO SALVADOR PERES,204.34,354.58,252.22,317.93,1129.07,
10,0,FAUSTO SALVADOR PERES,201.47,,73.73,226.48,501.68,
11,0,FAUSTO SALVADOR PERES,163.84,,72.63,381.52,617.99,
12,0,FAUSTO SALVADOR PERES,135.57,130.89,69.45,572.58,908.49,
2,0,FERNANDA SCHLIC GARCIA,150.17,150.60,120.55,75.24,496.56,
3,0,FERNANDA SCHLIC GARCIA,130.00,117.86,,,247.86,
4,0,FERNANDA SCHLIC GARCIA,123.78,,,,123.78,
5,0,FERNANDA SCHLIC GARCIA,120.82,,,,120.82,
6,0,FERNANDA SCHLIC GARCIA,125.47,,80.51,,205.98,
7,0,FERNANDA SCHLIC GARCIA,138.24,,,,138.24,
8,0,FERNANDA SCHLIC GARCIA,133.36,,,133.36,,
9,0,FERNANDA SCHLIC GARCIA,119.44,,,,119.44,
10,0,FERNANDA SCHLIC GARCIA,121.44,,8.58,,130.02,
11,0,FERNANDA SCHLIC GARCIA,118.65,,,,118.65,
12,0,FERNANDA SCHLIC GARCIA,115.58,,27.78,,143.36,
2,0,FERNANDO ALVES LISBOA DINI,179.98,241.11,165.93,,587.02,
3,0,FERNANDO ALVES LISBOA DINI,168.60,,455.33,2.85,626.78,
4,0,FERNANDO ALVES LISBOA DINI,132.36,,,,132.36,
5,0,FERNANDO ALVES LISBOA DINI,184.12,103.39,128.13,,415.64,
6,0,FERNANDO ALVES LISBOA DINI,158.26,37.69,209.22,,405.17,
7,0,FERNANDO ALVES LISBOA DINI,162.74,,338.94,2.85,504.53,
8,0,FERNANDO ALVES LISBOA DINI,157.26,,48.14,205.40,,
9,0,FERNANDO ALVES LISBOA DINI,163.01,,38.70,,201.71,
10,0,FERNANDO ALVES LISBOA DINI,133.40,,99.45,26.94,259.79,
11,0,FERNANDO ALVES LISBOA DINI,140.97,133.45,16.33,,290.75,
12,0,FERNANDO ALVES LISBOA DINI,134.24,,37.14,,171.38,
2,0,FRANCISCO FRANÇA DA SILVA,149.47,124.86,127.21,,401.54,
3,0,FRANCISCO FRANÇA DA SILVA,150.28,119.83,54.23,,324.34,
4,0,FRANCISCO FRANÇA DA SILVA,128.92,,7.27,,136.19,
5,0,FRANCISCO FRANÇA DA SILVA,137.53,90.95,77.71,,306.19,
6,0,FRANCISCO FRANÇA DA SILVA,137.53,87.92,123.39,,348.84,
7,0,FRANCISCO FRANÇA DA SILVA,170.87,190.83,78.80,,440.50,
8,0,FRANCISCO FRANÇA DA SILVA,132.21,105.41,22.05,259.67,,
9,0,FRANCISCO FRANÇA DA SILVA,145.38,101.09,59.01,,305.48,
10,0,FRANCISCO FRANÇA DA SILVA,140.26,94.61,,,234.87,
11,0,FRANCISCO FRANÇA DA SILVA,132.42,,63.12,,195.54,
12,0,FRANCISCO FRANÇA DA SILVA,118.88,,,,118.88,
2,0,HUDSON PESSINI,129.14,,29.86,,159.00,238.82
3,0,HUDSON PESSINI,124.62,,56.18,,180.80,159.00
4,0,HUDSON PESSINI,119.83,,,,119.83,180.80
5,0,HUDSON PESSINI,119.64,,,,119.64,155.05
6,0,HUDSON PESSINI,128.22,,1.60,,129.82,119.64
7,0,HUDSON PESSINI,123.16,,6.28,,129.44,129.82
8,0,HUDSON PESSINI,118.95,,,118.95,129.44,
9,0,HUDSON PESSINI,124.22,,22.18,,146.40,118.95
