ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2021,1,ANSELMO ROLIM NETO ¹,14.09,,,,14.09,
2021,1,ANTÔNIO CARLOS SILVANO JUNIOR ²,217.64,,9.37,,227.01,
2021,1,CRISTIANO ANUNCIAÇÃO DOS PASSOS ³,130.86,193.11,162.75,486.72,,
2021,1,CÍCERO JOÃO DA SILVA ³,156.24,,,156.24,,
2021,1,DYLAN ROBERTO VIANA DANTAS ³,229.36,,73.35,302.71,,
2021,1,FAUSTO SALVADOR PERES ²,138.82,127.82,50.87,212.04,529.55,
2021,1,FERNANDA SCHLIC GARCIA ²,117.16,,,,117.16,
2021,1,FERNANDO ALVES LISBOA DINI ²,139.51,,,,139.51,
2021,1,FRANCISCO FRANÇA DA SILVA ²,125.29,,,,125.29,
2021,1,GERVINO CLÁUDIO GONÇALVES ²,140.51,,,140.51,,
2021,1,HUDSON PESSINI ¹,1.17,,,,1.17,
2021,1,HÉLIO MAURO SILVA BRASILEIRO ²,,,,,,
2021,1,IARA BERNARDI ²,153.47,97.67,39.89,,291.03,
2021,1,IRINEU DONIZETI DE TOLEDO ¹,2.24,,,,2.24,
2021,1,JOSÉ APOLO DA SILVA ¹,1.44,,,,1.44,
2021,1,JOSÉ FRANCISCO MARTINEZ ¹,2.46,,,,2.46,
2021,1,JOSÉ VINICÍUS DO CAMPO AITH ³,190.70,,190.72,381.42,,
2021,1,JOÃO DONIZETI SILVESTRE ²,211.17,471.95,86.02,,769.14,
2021,1,MÁRIO MARTE MARINHO JUNIOR ¹,1.01,,,,1.01,
2021,1,PÉRICLES REGIS MENDONÇA DE LIMA ²,118.62,,,,118.62,
2021,1,RENAN DOS SANTOS ¹,0.44,,,,0.44,
2021,1,RODRIGO MAGANHATO ¹,54.38,,,,54.38,
2021,1,RODRIGO PIVETA BERNO ³,155.56,141.65,441.10,738.31,,
2021,1,SALATIEL DOS SANTOS HERGESEL ³,118.65,,109.78,228.43,,
2021,1,VITOR ALEXANDRE RODRIGUES ²,123.77,51.96,7.55,,183.28,
2021,1,WANDERLEY DIOGO DE MELO ¹,,,,,,
2021,1,ÍTALO GABRIEL MOREIRA ³,253.39,253.13,,506.52,,
2021,2,ANTÔNIO CARLOS SILVANO JUNIOR,252.53,,301.36,,553.89,
2021,2,CRISTIANO ANUNCIAÇÃO DOS PASSOS,183.38,422.15,169.18,774.71,,
2021,2,CÍCERO JOÃO DA SILVA,203.18,540.15,405.86,1149.19,,
2021,2,DYLAN ROBERTO VIANA DANTAS,202.66,,52.44,255.10,,
2021,2,FAUSTO SALVADOR PERES,148.21,148.53,142.05,438.79,,
2021,2,FERNANDA SCHLIC GARCIA,130.48,175.44,29.94,4.10,339.96,
2021,2,FERNANDO ALVES LISBOA DINI,149.36,147.24,99.30,,395.90,
2021,2,FRANCISCO FRANÇA DA SILVA,144.59,125.25,93.02,,362.86,
2021,2,FÁBIO SIMOA MENDES DO CARMO LEITE,151.20,463.36,188.50,803.06,,
2021,2,GERVINO CLÁUDIO GONÇALVES,165.99,505.69,,671.68,,
2021,2,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2021,2,IARA BERNARDI,191.64,588.08,74.47,37.58,891.77,
2021,2,JOSÉ VINICÍUS DO CAMPO AITH,175.79,150.55,,326.34,,
