ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2024,1,ANTÔNIO CARLOS SILVANO JUNIOR,132.82,344.49,24.60,,501.91,
2024,1,CAIO DE OLIVEIRA EGÊA SILVEIRA,254.23,548.16,128.81,,931.20,
2024,1,CRISTIANO ANUNCIAÇÃO DOS PASSOS,,348.86,152.80,213.20,714.86,
2024,1,CÍCERO JOÃO DA SILVA,871.20,718.72,353.72,,1943.64,
2024,1,DYLAN ROBERTO VIANA DANTAS,126.33,303.00,160.89,,590.22,
2024,1,FAUSTO SALVADOR PERES,289.62,320.98,252.91,660.00,1523.51,
2024,1,FERNANDA SCHLIC GARCIA,,241.37,13.62,,254.99,
2024,1,FERNANDO ALVES LISBOA DINI,,377.52,324.99,,702.51,
2024,1,FRANCISCO FRANÇA DA SILVA,,352.01,,,352.01,
2024,1,FÁBIO SIMOA MENDES DO CARMO LEITE,573.12,255.71,35.36,,864.19,
2024,1,GERVINO CLÁUDIO GONÇALVES,231.35,450.13,,,681.48,
2024,1,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2024,1,IARA BERNARDI,,322.76,,,322.76,
2024,1,JOSÉ VINICIUS CAMPOS AITH,,245.43,329.72,,575.15,
2024,1,JOÃO DONIZETI SILVESTRE,440.65,426.15,143.35,97.74,1107.89,
2024,1,LUÍS SANTOS PEREIRA FILHO,155.66,253.44,43.68,,452.78,
2024,1,PÉRICLES REGIS MENDONÇA DE LIMA,82.42,263.21,,,345.63,
2024,1,RODRIGO PIVETA BERNO,158.17,277.62,16.49,,452.28,
2024,1,SALATIEL DOS SANTOS HERGESEL,126.71,269.53,,,396.24,
2024,1,ÍTALO GABRIEL MOREIRA,143.51,280.46,124.92,,548.89,413.15
2024,2,ANTÔNIO CARLOS SILVANO JUNIOR,110.76,371.90,156.68,625.68,1265.02,
2024,2,CAIO DE OLIVEIRA EGÊA SILVEIRA,258.17,482.65,211.95,,952.77,
2024,2,CRISTIANO ANUNCIAÇÃO DOS PASSOS,266.14,515.96,105.51,212.08,1099.69,
2024,2,CÍCERO JOÃO DA SILVA,909.15,659.94,549.14,,2118.23,
2024,2,DYLAN ROBERTO VIANA DANTAS,280.68,248.44,281.50,,810.62,
2024,2,FAUSTO SALVADOR PERES,356.04,363.69,579.41,,1299.14,
2024,2,FERNANDA SCHLIC GARCIA,161.48,287.88,110.00,,559.36,
2024,2,FERNANDO ALVES LISBOA DINI,252.24,348.06,406.24,,1006.54,
2024,2,FRANCISCO FRANÇA DA SILVA,,361.47,189.72,,551.19,
2024,2,FÁBIO SIMOA MENDES DO CARMO LEITE,872.60,324.13,232.50,,1429.23,
2024,2,GERVINO CLÁUDIO GONÇALVES,429.94,309.49,,,739.43,
2024,2,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2024,2,IARA BERNARDI,117.69,361.73,145.84,,625.26,
2024,2,JOSÉ VINICIUS CAMPOS AITH,,251.57,,,251.57,
2024,2,JOÃO DONIZETI SILVESTRE,723.67,465.48,196.02,,1385.17,
2024,2,LUÍS SANTOS PEREIRA FILHO,465.55,291.02,,,756.57,
2024,2,PÉRICLES REGIS MENDONÇA DE LIMA,68.30,252.44,,,320.74,
2024,2,RODRIGO PIVETA BERNO,558.47,362.12,819.78,,1740.37,
2024,2,SALATIEL DOS SANTOS HERGESEL,228.75,319.90,,,548.65,
2024,2,ÍTALO GABRIEL MOREIRA,149.36,308.26,,4.90,462.52,548.89
2024,3,ANTÔNIO CARLOS SILVANO JUNIOR,223.39,317.37,237.96,,778.72,
2024,3,CAIO DE OLIVEIRA EGÊA SILVEIRA,235.17,652.71,505.04,,1392.92,
2024,3,CRISTIANO PASSOS,,261.19,,244.00,505.19,
2024,3,CÍCERO JOÃO DA SILVA,464.55,794.77,359.26,,1618.58,
2024,3,DYLAN ROBERTO VIANA DANTAS,,247.31,277.00,,524.31,
2024,3,FAUSTO SALVADOR PERES,431.01,439.12,160.91,,1031.04,
2024,3,FERNANDA SCHLIC GARCIA,240.41,312.65,143.42,2.45,698.93,
2024,3,FERNANDO ALVES LISBOA DINI,53.89,329.17,126.00,,509.06,
2024,3,FRANCISCO FRANÇA DA SILVA,130.40,322.93,5.63,4.75,463.71,
2024,3,FÁBIO SIMOA MENDES DO CARMO LEITE,300.88,300.98,303.36,,905.22,
2024,3,GERVINO CLÁUDIO GONÇALVES,298.60,476.28,,3.40,778.28,
2024,3,HELIO APARECIDO DE GODOY,150.88,290.59,201.57,,643.04,
2024,3,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2024,3,IARA BERNARDI,515.83,597.91,124.40,,1238.14,
2024,3,JOSÉ VINICIUS CAMPOS AITH,,255.81,,,255.81,
2024,3,JOÃO DONIZETI SILVESTRE,462.94,586.47,239.24,,1288.65,
2024,3,LUÍS SANTOS PEREIRA FILHO,317.68,277.83,13.05,,608.56,
2024,3,PÉRICLES REGIS MENDONÇA DE LIMA,33.16,320.47,,,353.63,
2024,3,RODRIGO PIVETA BERNO,285.69,345.10,,,630.79,
2024,3,SALATIEL DOS SANTOS HERGESEL,218.53,244.24,,,462.77,
2024,3,ÍTALO GABRIEL MOREIRA,,278.76,181.58,2.45,462.79,462.52
2024,4,ANTÔNIO CARLOS SILVANO JUNIOR,306.61,368.27,637.07,,1311.95,
2024,4,CAIO DE OLIVEIRA EGÊA SILVEIRA,767.05,818.79,465.93,,2051.77,
2024,4,CRISTIANO PASSOS,336.72,442.23,169.28,260.60,1208.83,
2024,4,CÍCERO JOÃO DA SILVA,1091.41,906.60,309.26,,2307.27,
2024,4,DYLAN ROBERTO VIANA DANTAS,287.86,279.34,,,567.20,
2024,4,FAUSTO SALVADOR PERES,657.29,474.67,216.68,,1348.64,
2024,4,FERNANDA SCHLIC GARCIA,292.28,247.86,148.00,22.95,711.09,
2024,4,FERNANDO ALVES LISBOA DINI,318.76,399.56,129.24,,847.56,
