ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2026,1,ALEXANDRE LUIZ CORRÊA,461.84,1416.38,239.73,,2117.95,
2026,1,ANTONIO CICERO DA SILVA,427.68,273.14,81.99,,782.81,
2026,1,ANTÔNIO CARLOS SILVANO JÚNIOR,396.32,482.47,90.33,677.76,1646.88,
2026,1,CAIO DE OLIVEIRA EGÊA SILVEIRA,441.68,357.16,224.39,,1023.23,
2026,1,CRISTIANO ANUNCIAÇÃO DOS PASSOS,447.89,289.06,,346.63,1083.58,
2026,1,CÍCERO JOÃO DA SILVA,389.49,2437.47,423.81,197.36,3448.13,
2026,1,DYLAN ROBERTO VIANA DANTAS,263.50,569.63,80.59,,913.72,
2026,1,FABIO SIMOA MENDES DO CARMO LEITE,309.81,1108.20,,,1418.01,
2026,1,FAUSTO SALVADOR PERES,441.50,373.71,,9.53,824.74,
2026,1,FERNANDA SCHLIC GARCIA,286.86,,,,286.86,
2026,1,FERNANDO ALVES LISBOA DINI,332.36,,,11.10,343.46,
2026,1,GERVINO CLÁUDIO GONÇALVES,380.95,1149.77,202.08,,1732.80,45.92
2026,1,HENRI JOSÉ ARIDA,251.82,310.21,,,562.03,
2026,1,IARA BERNARDI,322.67,585.95,,,908.62,
2026,1,IZIDIO DE BRITO CORREIA,286.37,111.23,,,397.60,
2026,1,JOÃO DONIZETI SILVESTRE,401.50,1040.55,70.97,39.35,1552.37,
2026,1,JUSSARA APARECIDA FERNANDES,340.07,686.25,54.00,128.52,1208.84,
2026,1,LUIS SANTOS PEREIRA FILHO,290.35,500.90,38.46,,829.71,
2026,1,RAFAEL DOMINGOS MILITÃO,258.82,89.40,26.52,,374.74,
2026,1,RAUL MARCELO DE SOUZA,258.54,,,,258.54,
2026,1,ROBERTO MACHADO DE FREITAS,316.28,471.57,67.20,,855.05,
2026,1,RODOLFO ANTÔNIO LIMA DE OLIVEIRA,327.51,,,,327.51,
2026,1,ROGÉRIO PEREIRA MARQUES,338.36,545.02,53.37,139.05,1075.80,
2026,1,TATIANE COSTA DOS SANTOS,249.91,143.08,,,392.99,
2026,1,ÍTALO GABRIEL MOREIRA,325.19,,62.08,81.00,468.27,746.69
2026,2,ALEXANDRE LUIZ CORRÊA,466.16,740.69,31.33,,1238.18,197.63
2026,2,ANTONIO CICERO DA SILVA,401.95,309.30,7.52,,718.77,
2026,2,ANTÔNIO CARLOS SILVANO JÚNIOR,313.19,398.68,18.66,,730.53,
2026,2,CAIO DE OLIVEIRA EGÊA SILVEIRA,411.52,560.72,72.43,,1044.67,
2026,2,CRISTIANO ANUNCIAÇÃO DOS PASSOS,449.18,150.33,237.47,322.63,1159.61,
2026,2,CÍCERO JOÃO DA SILVA,440.05,1225.04,136.47,,1801.56,1225.77
2026,2,DYLAN ROBERTO VIANA DANTAS,289.99,181.49,9.25,,480.73,
2026,2,FABIO SIMOA MENDES DO CARMO LEITE,381.74,930.61,172.88,,1485.23,
2026,2,FAUSTO SALVADOR PERES,342.76,355.47,66.43,,764.66,
2026,2,FERNANDA SCHLIC GARCIA,333.71,186.14,27.63,,547.48,
2026,2,FERNANDO ALVES LISBOA DINI,349.93,,172.70,,522.63,
2026,2,GERVINO CLÁUDIO GONÇALVES,320.27,821.47,68.69,,1210.43,
2026,2,HENRI JOSÉ ARIDA,254.54,176.59,53.49,,484.62,
2026,2,IARA BERNARDI,437.64,1339.09,63.82,,1840.55,
2026,2,IZIDIO DE BRITO CORREIA,425.41,467.67,323.61,,1216.69,
2026,2,JOSÉ VINÍCIUS CAMPOS AITH**,112.30,167.56,,,279.86,
2026,2,JOÃO DONIZETI SILVESTRE,421.93,918.88,90.12,,1430.93,
2026,2,JUSSARA APARECIDA FERNANDES,332.71,648.44,132.28,,1113.43,
2026,2,LUIS SANTOS PEREIRA FILHO,312.12,394.67,101.25,,808.04,
2026,2,RAFAEL DOMINGOS MILITÃO*,162.06,358.77,,,520.83,
2026,2,RAUL MARCELO DE SOUZA,290.90,181.49,,,472.39,
2026,2,ROBERTO MACHADO DE FREITAS,350.47,824.42,,,1174.89,
2026,2,RODOLFO ANTÔNIO LIMA DE OLIVEIRA,344.53,162.45,257.02,,764.00,
2026,2,ROGÉRIO PEREIRA MARQUES,299.85,1068.67,,,1368.52,
2026,2,TATIANE COSTA DOS SANTOS,303.37,12.13,45.56,,361.06,
2026,2,ÍTALO GABRIEL MOREIRA,423.19,,,,423.19,468.27
2026,3,ALEXANDRE LUIZ CORRÊA,474.62,878.54,291.59,,1644.75,
2026,3,ANTONIO CICERO DA SILVA,434.74,451.58,258.31,,1144.63,
2026,3,ANTÔNIO CARLOS SILVANO JÚNIOR,469.43,695.14,259.49,,1424.06,
2026,3,CAIO DE OLIVEIRA EGÊA SILVEIRA,448.31,1080.05,159.65,,1688.01,
