ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2022,1,ANTÔNIO CARLOS SILVANO JUNIOR,238.49,,20.94,,259.43,
2022,1,CRISTIANO ANUNCIAÇÃO DOS PASSOS,188.35,350.79,59.83,114.64,713.61,
2022,1,CÍCERO JOÃO DA SILVA,166.72,1537.87,60.39,,1764.98,
2022,1,DYLAN ROBERTO VIANA DANTAS,129.62,,,,129.62,
2022,1,FAUSTO SALVADOR PERES,160.25,229.96,10.45,303.24,703.90,
2022,1,FERNANDA SCHLIC GARCIA,118.48,,,,118.48,
2022,1,FERNANDO ALVES LISBOA DINI,171.73,331.72,78.81,,582.26,
2022,1,FRANCISCO FRANÇA DA SILVA,130.56,,,,130.56,
2022,1,FÁBIO SIMOA MENDES DO CARMO LEITE,144.08,443.95,43.90,,631.93,
2022,1,GERVINO CLÁUDIO GONÇALVES,164.19,457.95,,,622.14,
2022,1,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,1,IARA BERNARDI,150.10,455.54,38.17,,643.81,
2022,1,JOSÉ VINICIUS CAMPOS AITH,130.12,,,,130.12,
2022,1,JOÃO DONIZETI SILVESTRE,227.54,679.03,,,906.57,
2022,1,LUÍS SANTOS PEREIRA FILHO,124.22,,,,124.22,
2022,1,PÉRICLES REGIS MENDONÇA DE LIMA,122.00,,,,122.00,
2022,1,RODRIGO PIVETA BERNO,247.06,437.90,5.22,,690.18,
2022,1,SALATIEL DOS SANTOS HERGESEL,121.62,,,,121.62,
2022,1,VITOR ALEXANDRE RODRIGUES,128.68,845.27,,,973.95,
2022,1,ÍTALO GABRIEL MOREIRA,129.39,381.86,,,511.25,1036.05
2022,2,ANTÔNIO CARLOS SILVANO JUNIOR,165.41,,249.51,,414.92,
2022,2,CRISTIANO ANUNCIAÇÃO DOS PASSOS,222.67,144.19,685.99,104.88,1157.73,
2022,2,CÍCERO JOÃO DA SILVA,167.18,347.31,330.16,,844.65,
2022,2,DYLAN ROBERTO VIANA DANTAS,136.16,201.58,136.85,,474.59,
2022,2,FAUSTO SALVADOR PERES,156.91,408.06,273.17,236.36,1074.50,
2022,2,FERNANDA SCHLIC GARCIA,123.26,218.47,31.75,,373.48,
2022,2,FERNANDO ALVES LISBOA DINI,169.91,396.04,133.89,,699.84,
2022,2,FRANCISCO FRANÇA DA SILVA,142.06,177.51,72.65,,392.22,
2022,2,FÁBIO SIMOA MENDES DO CARMO LEITE,135.16,598.12,117.75,,851.03,
2022,2,GERVINO CLÁUDIO GONÇALVES,155.33,216.11,38.36,,409.80,
2022,2,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,2,IARA BERNARDI,181.87,859.65,220.75,462.55,1724.82,
2022,2,JOSÉ VINICIUS CAMPOS AITH,201.60,,34.88,,236.48,
2022,2,JOÃO DONIZETI SILVESTRE,215.55,804.06,265.91,,1285.52,
2022,2,LUÍS SANTOS PEREIRA FILHO,129.88,624.04,78.20,,832.12,
2022,2,PÉRICLES REGIS MENDONÇA DE LIMA,128.65,,32.51,,161.16,
2022,2,RODRIGO PIVETA BERNO,220.10,654.67,114.04,,988.81,
2022,2,SALATIEL DOS SANTOS HERGESEL,127.71,192.60,54.93,96.55,471.79,
2022,2,VITOR ALEXANDRE RODRIGUES,128.58,542.85,122.67,,794.10,
2022,2,ÍTALO GABRIEL MOREIRA,133.00,212.15,92.62,,437.77,511.25
2022,3,ANTÔNIO CARLOS SILVANO JUNIOR,196.91,,103.16,,300.07,
2022,3,CRISTIANO ANUNCIAÇÃO DOS PASSOS,201.31,183.09,82.04,84.15,550.59,
2022,3,CÍCERO JOÃO DA SILVA,231.54,214.13,342.56,,788.23,
2022,3,DYLAN ROBERTO VIANA DANTAS,146.98,215.60,50.02,,412.60,
2022,3,FAUSTO SALVADOR PERES,182.94,395.04,163.44,269.04,1010.46,
2022,3,FERNANDA SCHLIC GARCIA,122.62,183.36,53.35,2.95,362.28,
2022,3,FERNANDO ALVES LISBOA DINI,206.53,611.70,168.07,,986.30,
2022,3,FRANCISCO FRANÇA DA SILVA,143.69,,52.60,,196.29,
2022,3,FÁBIO SIMOA MENDES DO CARMO LEITE,134.62,230.40,430.50,,795.52,
2022,3,GERVINO CLÁUDIO GONÇALVES,172.84,376.91,,,549.75,
2022,3,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,3,IARA BERNARDI,207.20,1303.68,36.62,,1547.50,
2022,3,JOSÉ VINICIUS CAMPOS AITH,130.54,1100.05,39.29,,1269.88,
2022,3,JOÃO DONIZETI SILVESTRE,259.18,1100.00,189.49,,1548.67,
2022,3,LUÍS SANTOS PEREIRA FILHO,127.55,633.62,42.98,,804.15,
2022,3,PÉRICLES REGIS MENDONÇA DE LIMA,128.52,432.48,,,561.00,
2022,3,RODRIGO PIVETA BERNO,338.95,672.66,230.29,106.40,1348.30,
2022,3,SALATIEL DOS SANTOS HERGESEL,126.60,208.15,54.93,18.10,407.78,
2022,3,VITOR ALEXANDRE RODRIGUES,129.20,179.20,176.00,,484.40,
2022,3,ÍTALO GABRIEL MOREIRA,129.97,423.68,2.11,,555.76,437.77
2022,4,ANTÔNIO CARLOS SILVANO JUNIOR,173.89,199.50,121.83,564.68,1059.90,
2022,4,CRISTIANO ANUNCIAÇÃO DOS PASSOS,178.92,258.03,263.21,291.87,992.03,
2022,4,CÍCERO JOÃO DA SILVA,227.42,413.70,,641.12,,
2022,4,DYLAN ROBERTO VIANA DANTAS,136.78,251.53,142.65,,530.96,
2022,4,FAUSTO SALVADOR PERES,149.65,543.28,108.75,,801.68,
2022,4,FERNANDA SCHLIC GARCIA,126.21,258.08,389.82,476.27,1250.38,
2022,4,FERNANDO ALVES LISBOA DINI,151.27,595.58,94.03,,840.88,
2022,4,FRANCISCO FRANÇA DA SILVA,136.62,209.55,45.96,,392.13,
2022,4,FÁBIO SIMOA MENDES DO CARMO LEITE,148.34,551.30,,699.64,,
2022,4,GERVINO CLÁUDIO GONÇALVES,152.45,929.76,,,1082.21,
2022,4,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,4,IARA BERNARDI,138.30,754.84,140.09,,1033.23,
2022,4,JOSÉ VINICIUS CAMPOS AITH,221.88,,203.18,,425.06,
2022,4,JOÃO DONIZETI SILVESTRE,210.82,862.19,214.89,,1287.90,
2022,4,LUÍS SANTOS PEREIRA FILHO,123.29,711.31,198.30,,1032.90,
2022,4,PÉRICLES REGIS MENDONÇA DE LIMA,118.69,,96.64,,215.33,
2022,4,RODRIGO PIVETA BERNO,820.90,739.77,650.03,,2210.70,
2022,4,SALATIEL DOS SANTOS HERGESEL,127.26,,,127.26,,
2022,4,VITOR ALEXANDRE RODRIGUES,121.31,470.06,90.21,,681.58,
2022,4,ÍTALO GABRIEL MOREIRA,129.79,239.12,82.50,12.30,463.71,555.76
2022,5,ANTÔNIO CARLOS SILVANO JUNIOR,182.73,414.72,57.06,654.51,,
2022,5,CRISTIANO ANUNCIAÇÃO DOS PASSOS,212.97,404.47,222.74,248.95,1089.13,
2022,5,CÍCERO JOÃO DA SILVA,268.85,282.46,277.18,828.49,,
2022,5,DYLAN ROBERTO VIANA DANTAS,137.11,,15.92,153.03,,
2022,5,FAUSTO SALVADOR PERES,205.34,778.73,608.94,1593.01,,
2022,5,FERNANDA SCHLIC GARCIA,155.33,414.00,44.96,334.85,949.14,
2022,5,FERNANDO ALVES LISBOA DINI,176.91,240.53,154.60,572.04,,
2022,5,FRANCISCO FRANÇA DA SILVA,140.45,,142.04,282.49,,
2022,5,FÁBIO SIMOA MENDES DO CARMO LEITE,171.21,673.40,256.03,1100.64,,
2022,5,GERVINO CLÁUDIO GONÇALVES,209.20,691.77,,900.97,,
2022,5,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,5,IARA BERNARDI,211.18,1173.60,198.96,1583.74,,
2022,5,JOSÉ VINICIUS CAMPOS AITH,172.09,227.28,13.26,412.63,,
2022,5,JOÃO DONIZETI SILVESTRE,270.59,854.29,154.35,1279.23,,
2022,5,LUÍS SANTOS PEREIRA FILHO,162.44,695.42,106.56,964.42,,
2022,5,PÉRICLES REGIS MENDONÇA DE LIMA,123.68,200.21,,323.89,,
2022,5,RODRIGO PIVETA BERNO,298.24,82.33,130.86,511.43,,
2022,5,SALATIEL DOS SANTOS HERGESEL,132.98,227.04,54.93,414.95,,
2022,5,VITOR ALEXANDRE RODRIGUES,148.63,329.87,138.85,617.35,,
2022,5,ÍTALO GABRIEL MOREIRA,162.98,472.59,98.69,4.70,738.96,463.71
2022,6,ANTÔNIO CARLOS SILVANO JUNIOR,158.46,195.84,319.69,,673.99,
2022,6,CRISTIANO ANUNCIAÇÃO DOS PASSOS,146.98,172.74,234.11,30.50,584.33,
2022,6,CÍCERO JOÃO DA SILVA,206.18,604.53,139.57,,950.28,
2022,6,DYLAN ROBERTO VIANA DANTAS,129.31,214.72,127.16,,471.19,
2022,6,FAUSTO SALVADOR PERES,141.86,764.51,97.28,,1003.65,
2022,6,FERNANDA SCHLIC GARCIA,119.78,221.18,120.87,17.25,479.08,
2022,6,FERNANDO ALVES LISBOA DINI,153.47,210.19,285.05,,648.71,
2022,6,FRANCISCO FRANÇA DA SILVA,126.80,179.95,110.20,,416.95,
2022,6,FÁBIO SIMOA MENDES DO CARMO LEITE,142.97,774.95,158.69,,1076.61,
2022,6,GERVINO CLÁUDIO GONÇALVES,177.69,431.36,,,609.05,
2022,6,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2022,6,IARA BERNARDI,177.84,385.99,139.98,,703.81,
2022,6,JOSÉ VINICIUS CAMPOS AITH,142.34,,,,142.34,
2022,6,JOÃO DONIZETI SILVESTRE,244.08,559.36,242.39,,1045.83,
2022,6,LUÍS SANTOS PEREIRA FILHO,125.72,443.45,70.64,,639.81,
2022,6,PÉRICLES REGIS MENDONÇA DE LIMA,121.77,125.42,,,247.19,
