ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2023,3,GERVINO CLÁUDIO GONÇALVES,511.48,229.75,,3.25,744.48,
2023,3,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,3,IARA BERNARDI,855.49,250.07,137.76,,1243.32,
2023,3,JOSÉ VINICIUS CAMPOS AITH,,201.75,107.61,,309.36,
2023,3,JOÃO DONIZETI SILVESTRE,998.60,316.87,342.98,,1658.45,
2023,3,LUÍS SANTOS PEREIRA FILHO,717.94,160.44,85.82,,964.20,
2023,3,PÉRICLES REGIS MENDONÇA DE LIMA,172.43,170.16,94.66,,437.25,
2023,3,RODRIGO PIVETA BERNO,521.55,177.99,73.12,,772.66,
2023,3,SALATIEL DOS SANTOS HERGESEL,149.58,155.14,63.20,,367.92,
2023,3,VITOR ALEXANDRE RODRIGUES,173.39,187.19,347.56,,708.14,
2023,3,ÍTALO GABRIEL MOREIRA,,173.50,142.44,128.70,444.64,737.73
2023,4,ANTÔNIO CARLOS SILVANO JUNIOR,269.37,164.84,85.53,654.72,1174.46,
2023,4,CRISTIANO ANUNCIAÇÃO DOS PASSOS,331.79,370.30,237.14,176.00,1115.23,
2023,4,CÍCERO JOÃO DA SILVA,318.47,1202.48,540.76,2061.71,,
2023,4,DYLAN ROBERTO VIANA DANTAS,203.83,543.78,77.38,824.99,,
2023,4,FAUSTO SALVADOR PERES,263.25,303.31,,566.56,,
2023,4,FERNANDA SCHLIC GARCIA,147.47,182.25,43.00,372.72,,
2023,4,FERNANDO ALVES LISBOA DINI,226.84,426.95,302.01,955.80,,
2023,4,FRANCISCO FRANÇA DA SILVA,204.98,,145.00,349.98,,
2023,4,FÁBIO SIMOA MENDES DO CARMO LEITE,186.97,,319.70,506.67,,
2023,4,GERVINO CLÁUDIO GONÇALVES,179.77,537.72,,3.40,720.89,
2023,4,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,4,IARA BERNARDI,234.86,507.06,97.69,839.61,,
2023,4,JOSÉ VINICIUS CAMPOS AITH,192.24,,46.19,238.43,,
2023,4,JOÃO DONIZETI SILVESTRE,319.10,801.40,117.68,3.40,1241.58,
2023,4,LUÍS SANTOS PEREIRA FILHO,151.26,373.40,,524.66,,
2023,4,PÉRICLES REGIS MENDONÇA DE LIMA,152.81,191.88,,344.69,,
2023,4,RODRIGO PIVETA BERNO,170.67,350.78,292.43,813.88,,
2023,4,SALATIEL DOS SANTOS HERGESEL,151.35,466.29,22.50,640.14,,
2023,4,ÍTALO GABRIEL MOREIRA,171.63,186.32,95.66,33.30,486.91,444.64
2023,5,ANTÔNIO CARLOS SILVANO JUNIOR,322.80,271.61,34.00,628.41,,
2023,5,CRISTIANO ANUNCIAÇÃO DOS PASSOS,138.79,361.77,304.79,201.46,1006.81,
2023,5,CÍCERO JOÃO DA SILVA,1397.91,398.67,425.32,2221.90,,
2023,5,DYLAN ROBERTO VIANA DANTAS,478.02,151.87,102.77,732.66,,
2023,5,FAUSTO SALVADOR PERES,348.76,232.17,197.09,778.02,,
2023,5,FERNANDO ALVES LISBOA DINI,156.87,293.94,164.10,614.91,,
2023,5,FRANCISCO FRANÇA DA SILVA,182.64,188.65,157.62,528.91,,
2023,5,FÁBIO SIMOA MENDES DO CARMO LEITE,151.44,245.05,267.71,664.20,,
2023,5,GERVINO CLÁUDIO GONÇALVES,358.23,221.08,6.80,586.11,,
2023,5,IARA BERNARDI,828.51,244.63,85.87,1159.01,,
2023,5,JOSÉ VINICIUS CAMPOS AITH,173.87,193.52,75.71,443.10,,
2023,5,JOÃO DONIZETI SILVESTRE,759.70,280.79,390.43,1430.92,,
2023,5,LUÍS SANTOS PEREIRA FILHO,488.40,188.02,126.17,69.00,871.59,
2023,5,PÉRICLES REGIS MENDONÇA DE LIMA,148.99,160.70,42.14,351.83,,
2023,5,RODRIGO PIVETA BERNO,696.49,182.96,13.60,893.05,,
2023,5,SALATIEL DOS SANTOS HERGESEL,582.81,148.23,63.21,794.25,,
2023,5,ÍTALO GABRIEL MOREIRA,175.69,178.26,370.57,91.80,816.32,486.91
2023,6,ANTÔNIO CARLOS SILVANO JUNIOR,287.38,287.29,134.90,629.20,1338.77,
2023,6,CAIO DE OLIVEIRA EGÊA SILVEIRA,512.09,263.96,152.40,,928.45,
2023,6,CRISTIANO ANUNCIAÇÃO DOS PASSOS,166.22,243.31,184.71,208.92,803.16,
2023,6,CÍCERO JOÃO DA SILVA,90.70,345.75,820.73,,1257.18,
2023,6,DYLAN ROBERTO VIANA DANTAS,122.10,196.36,444.07,769.56,1532.09,
2023,6,FAUSTO SALVADOR PERES,310.58,219.08,259.04,,788.70,
2023,6,FERNANDA SCHLIC GARCIA,,150.97,47.14,3.40,201.51,
2023,6,FERNANDO ALVES LISBOA DINI,137.52,282.99,255.01,,675.52,
2023,6,FRANCISCO FRANÇA DA SILVA,,207.88,117.98,,325.86,
2023,6,FÁBIO SIMOA MENDES DO CARMO LEITE,490.67,202.98,273.29,,966.94,
2023,6,GERVINO CLÁUDIO GONÇALVES,480.73,244.64,,,725.37,
2023,6,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,6,IARA BERNARDI,485.23,289.70,185.04,,959.97,
2023,6,JOSÉ VINICIUS CAMPOS AITH,,179.21,,,179.21,
2023,6,JOÃO DONIZETI SILVESTRE,612.79,281.43,264.04,17.25,1175.51,
2023,6,LUÍS SANTOS PEREIRA FILHO,671.52,153.10,149.42,,974.04,
2023,6,PÉRICLES REGIS MENDONÇA DE LIMA,162.11,167.60,,,329.71,
2023,6,RODRIGO PIVETA BERNO,181.48,227.74,263.74,,672.96,
2023,6,SALATIEL DOS SANTOS HERGESEL,286.05,151.00,,,437.05,
2023,6,ÍTALO GABRIEL MOREIRA,181.48,177.35,219.61,75.76,654.20,816.32
2023,7,ANTÔNIO CARLOS SILVANO JUNIOR,142.85,235.78,894.79,622.16,1895.58,
2023,7,CAIO DE OLIVEIRA EGÊA SILVEIRA,352.68,294.14,299.93,,946.75,
2023,7,CRISTIANO ANUNCIAÇÃO DOS PASSOS,,251.09,151.58,206.04,608.71,
2023,7,CÍCERO JOÃO DA SILVA,156.88,440.89,667.70,,1265.47,
2023,7,DYLAN ROBERTO VIANA DANTAS,,168.88,43.21,,212.09,
2023,7,FAUSTO SALVADOR PERES,445.37,262.68,125.50,,833.55,
2023,7,FERNANDA SCHLIC GARCIA,156.68,142.19,25.16,,324.03,
2023,7,FERNANDO ALVES LISBOA DINI,171.39,253.46,181.00,,605.85,
2023,7,FRANCISCO FRANÇA DA SILVA,,196.31,16.98,,213.29,
2023,7,FÁBIO SIMOA MENDES DO CARMO LEITE,652.54,189.18,162.40,,1004.12,
2023,7,GERVINO CLÁUDIO GONÇALVES,604.51,217.97,,3.40,825.88,
2023,7,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,7,IARA BERNARDI,473.18,232.63,97.15,,802.96,
2023,7,JOSÉ VINICIUS CAMPOS AITH,,158.32,,,158.32,
