ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2025,1,ALEXANDRE LUIZ CORRÊA,432.82,331.11,489.54,,1253.47,
2025,1,ANTONIO CICERO DA SILVA,99.50,365.16,496.14,,960.80,
2025,1,ANTÔNIO CARLOS SILVANO JÚNIOR,345.06,417.66,60.32,,823.04,
2025,1,CAIO DE OLIVEIRA EGÊA SILVEIRA,314.80,403.31,310.02,,1028.13,
2025,1,CRISTIANO ANUNCIAÇÃO DOS PASSOS,303.79,286.17,,,589.96,
2025,1,DYLAN ROBERTO VIANA DANTAS,300.85,269.94,,,570.79,
2025,1,FABIO SIMOA MENDES DO CARMO LEITE,139.61,283.29,42.89,,465.79,
2025,1,FAUSTO SALVADOR PERES,,309.16,84.07,,393.23,
2025,1,FERNANDA SCHLIC GARCIA,,265.62,13.24,,278.86,
2025,1,FERNANDO ALVES LISBOA DINI,,287.47,13.13,,300.60,
2025,1,GERVINO CLÁUDIO GONÇALVES,477.26,293.19,45.21,,815.66,
2025,1,HENRI JOSÉ ARIDA,219.18,248.47,92.22,,559.87,
2025,1,IARA BERNARDI,308.31,359.88,73.26,,741.45,
2025,1,IZIDIO DE BRITO CORREIA,,250.61,368.55,,619.16,
2025,1,JOSÉ VINÍCIUS CAMPOS AITH*,,268.69,,,268.69,
2025,1,JOÃO DONIZETI SILVESTRE,511.78,500.69,189.23,,1201.70,
2025,1,JUSSARA APARECIDA FERNANDES,,318.46,1127.08,242.25,1687.79,
2025,1,LUIS SANTOS PEREIRA FILHO,373.38,339.81,159.75,,872.94,
2025,1,PÉRICLES REGIS MENDONÇA DE LIMA,,619.84,142.73,,762.57,
2025,1,RAFAEL DOMINGOS MILITÃO**,,245.62,73.55,,319.17,
2025,1,RAUL MARCELO DE SOUZA,,318.97,227.51,,546.48,
2025,1,ROBERTO MACHADO DE FREITAS,581.47,256.58,941.93,,1779.98,
2025,1,RODOLFO ANTÔNIO LIMA DE OLIVEIRA,,258.21,1089.92,,1348.13,
2025,1,ROGÉRIO PEREIRA MARQUES,506.82,340.56,506.12,,1353.50,
2025,1,TATIANE COSTA DOS SANTOS,436.66,248.33,245.27,,930.26,
2025,1,ÍTALO GABRIEL MOREIRA,,519.03,120.42,98.60,738.05,1148.03
2025,2,ALEXANDRE LUIZ CORRÊA,701.72,460.98,267.82,,1430.52,
2025,2,ANTONIO CICERO DA SILVA,247.69,495.70,50.41,,793.80,
2025,2,ANTÔNIO CARLOS SILVANO JÚNIOR,348.72,372.95,349.53,,1071.20,
2025,2,CAIO DE OLIVEIRA EGÊA SILVEIRA,369.32,597.80,412.53,,1379.65,
2025,2,CRISTIANO ANUNCIAÇÃO DOS PASSOS,528.73,447.50,17.67,258.52,1252.42,
2025,2,CÍCERO JOÃO DA SILVA**,,492.85,211.55,,704.40,
2025,2,DYLAN ROBERTO VIANA DANTAS,,281.68,500.85,,782.53,
2025,2,FABIO SIMOA MENDES DO CARMO LEITE,562.35,378.78,308.40,,1249.53,
2025,2,FAUSTO SALVADOR PERES,179.64,334.70,31.62,,545.96,
2025,2,FERNANDA SCHLIC GARCIA,311.29,342.14,,,653.43,
