Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"40.749.434,41","39.931.172,47","39.447.163,01","818.261,94","484.009,46",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3549904
06.181 - Policiamento,"40.749.434,41","39.931.172,47","39.447.163,01","818.261,94","484.009,46",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2019&id_ente=3549904
