Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"46.062.559,11","45.713.005,61","45.535.955,77","349.553,50","177.049,84",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2021&id_ente=3552205
06.181 - Policiamento,"46.058.864,22","45.709.310,72","45.532.260,88","349.553,50","177.049,84",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2021&id_ente=3552205
06.182 - Defesa Civil,"3.694,89","3.694,89","3.694,89","0,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2021&id_ente=3552205
