Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"93.136.801,98","79.284.662,78","78.448.137,82","13.852.139,20","836.524,96",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3525904
06.122 - Administração Geral,"64.448.063,79","64.426.409,24","64.418.132,53","21.654,55","8.276,71",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3525904
06.181 - Policiamento,"28.674.680,74","14.846.811,61","14.018.563,36","13.827.869,13","828.248,25",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3525904
06.182 - Defesa Civil,"14.057,45","11.441,93","11.441,93","2.615,52","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2023&id_ente=3525904
