Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"2.233.033,07","1.815.119,06","1.760.060,78","417.914,01","55.058,28",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3506003
06.182 - Defesa Civil,"2.233.033,07","1.815.119,06","1.760.060,78","417.914,01","55.058,28",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2017&id_ente=3506003
