ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2023,2608909,Limoeiro,LIMOEIRO DO NORTE - CE,202339270002,CAPITAO WAGNER,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"30,00","30,00","30,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2023,2608909,Limoeiro,LIMOEIRO - PE,202337470010,RICARDO TEOBALDO,,,Emenda Individual - Transferências Especiais,Encargos especiais,Outras transferências,"395.536,00","395.536,00","395.536,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2023,2608909,Limoeiro,LIMOEIRO DO NORTE - CE,202340550011,PEDRO AUGUSTO BEZERRA,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Assistência hospitalar e ambulatorial,"1.551.738,00","1.551.738,00","1.551.738,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
