ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2019,4305454,Cidreira,CIDREIRA - RS,201928640014,JERONIMO GOERGEN,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"99.900,00","99.900,00","99.900,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2019,4305454,Cidreira,CIDREIRA - RS,201928640015,JERONIMO GOERGEN,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"150.000,00","150.000,00","150.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
