Quadrimestre,Proprios_Previsao,Proprios_Arrecadado,Transferencias_Federais_Previsao,Transferencias_Federais_Arrecadado,Transferencias_Estaduais_Previsao,Transferencias_Estaduais_Arrecadado,Total_Base_Previsao,Total_Base_Arrecadado,Minimo_Educacao_Previsao,Minimo_Educacao_Arrecadado,Percentual_Aplicado_Liquidado
1,"1.258.200.203,04","338.053.513,72","134.200.183,41","31.627.085,00","1.056.571.382,78","315.043.696,63","2.211.557.170,23","615.390.139,21","612.242.942,30","171.181.073,83","27,82"
2,"1.263.608.213,26","642.057.676,50","132.427.787,05","61.096.704,91","1.031.273.152,18","542.693.308,56","2.189.894.553,49","1.125.089.687,63","606.827.288,12","311.461.922,49","27,68"
3,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
4,"1.289.057.533,71","1.289.057.533,71","126.334.135,47","123.991.266,33","987.785.429,64","957.063.019,02","2.165.762.499,82","2.156.106.444,33","600.794.274,70","592.527.954,76","27,48"
