ano,municipio,ibge6,receita_impostos,despesa_saude_total,despesa_asps,percentual_asps,limite_constitucional_pct,situacao
2002,sao_paulo,355030,,,,,15,nao_coletado
2003,sao_paulo,355030,,,,,15,nao_coletado
2004,sao_paulo,355030,,,,,15,nao_coletado
2005,sao_paulo,355030,,,,,15,nao_coletado
2006,sao_paulo,355030,,,,,15,nao_coletado
2007,sao_paulo,355030,,,,,15,nao_coletado
2008,sao_paulo,355030,,,,,15,nao_coletado
2009,sao_paulo,355030,,,,,15,nao_coletado
2010,sao_paulo,355030,,,,,15,nao_coletado
2011,sao_paulo,355030,,,,,15,nao_coletado
2012,sao_paulo,355030,,,,,15,nao_coletado
2013,sao_paulo,355030,,,,,15,nao_coletado
2014,sao_paulo,355030,,,,,15,nao_coletado
2015,sao_paulo,355030,,,,,15,nao_coletado
2016,sao_paulo,355030,,,,,15,nao_coletado
2017,sao_paulo,355030,,,,,15,nao_coletado
2018,sao_paulo,355030,,,,,15,nao_coletado
2019,sao_paulo,355030,,,,,15,nao_coletado
2020,sao_paulo,355030,37875383821.58,7504564687.82,,19.81,15,cumprido
2021,sao_paulo,355030,46672581222.08,9763693462.97,,20.92,15,cumprido
2022,sao_paulo,355030,52038769400.28,10617448047.90,,20.40,15,cumprido
2023,sao_paulo,355030,55427696864.45,12729167736.06,,22.97,15,cumprido
2024,sao_paulo,355030,60622559457.70,14974001558.09,,24.70,15,cumprido
2025,sao_paulo,355030,69160716222.51,16137224491.97,,23.33,15,cumprido
2026,sao_paulo,355030,,,,,15,nao_coletado
