dataset,ano,orgao_cnpj,orgao_nome,unidade_nome,controle_pncp,numero,objeto,valor,situacao,data_publicacao,data_assinatura,vigencia_inicio,vigencia_fim
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000008/2023,,"Aquisição de Copos e Jarras de vidro, conforme especificações demonstradas na Requisição de Material SGM/CAF/DAP/SAA.",,Divulgada no PNCP,2023-04-19,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000009/2023,,Contratação de Empresa especializada na Aquisição de Talha Elétrica 220V/2200W Capacidade de Elevação: até 1200kg (preferencia) - Grau de Proteção: IP 54 - Isolamento: Classe B - Potencia: 2200w - Comprimento do cabo de aço: 12m - Velocidade Elevação: 10m/Min - Cabo de aço solto : metade do Peso - T,,Divulgada no PNCP,2023-04-20,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000010/2023,,"Trata o presente de processo de aquisição de material, pisos e soleiras - PORCELANATO RETIFICADO  60X60 CARRARA ACETINADO 200 m² - PORCELANATO RETIFICADO 60 X 120CM CARRARA ACETINADO 20 m² - SOLEIRA COR PRETA SÃO GABRIEL 1,00 M X 20 CM 30 unidades e COLA PARA PISO VINIVLICO 04 BALDE 18 LTS.",,Divulgada no PNCP,2023-04-20,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000011/2023,,"Aquisição/confecção de Toalhas, Guardanapos e Jogo Americano - Confecção. A empresa vencedora deverá fornecer todos os itens conforme a descrição do item 3 (três) do edital.  A empresa vencedora deverá confirmar medidas das mesas no local. Medidas informadas são uma prévia.  A confecção deverá ser f",,Divulgada no PNCP,2023-05-03,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000012/2023,,"AQUISIÇÃO DE MATERIAIS (pisos e soleiras)visando suprir as necessidades do Edifício Matarazzo - Sede da Prefeitura da Cidade de São Paulo, conforme quantidades, especificações e justificativas contidas no Edital em anexo.",,Divulgada no PNCP,2023-05-03,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SUBPREFEITURA VILA MARIANA,46395000000139-1-000013/2023,,"Aquisição de Bandeira da República Federativa do Brasil L=4,50 metro x C= 6,40 metro   verificar o anexo",,Divulgada no PNCP,2023-05-15,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA MUNICIPAL DE CULTURA,46395000000139-1-000014/2023,,Contratação de empresa para prestação de serviços de manutenção de portas corta-fogo conforme Termo de Referência em anexo.,,Divulgada no PNCP,2023-05-15,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA MUNICIPAL DE CULTURA,46395000000139-1-000015/2023,,"Aquisição de Mapotecas modelo A0 de 05 e 10 gavetas para armazenar plantas de arquitetura, obras artísticas em papel, mapas e outros documentos/objetos na posição horizontal, de forma a atender as necessidades da Biblioteca Mário de Andrade (BMA), conforme Termo de Referência que integra o Edital de",,Divulgada no PNCP,2023-05-16,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA MUNICIPAL DE CULTURA,46395000000139-1-000016/2023,,"Aquisição da estrutura de box truss para melhor atender as necessidades do Centro Cultural Tendal da Lapa, uma vez que o espaço onde está sendo utilizado os equipamentos de iluminação, não dispõe de estrutura adequada para recebe-los.",,Divulgada no PNCP,2023-05-16,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000017/2023,,"Contratação de pessoa jurídica especializada para atualização de curso no formato de ensino à distância (EAD) sobre o tema paternidade responsável, conforme especificação técnica a seguir. Trata-se de curso já ofertado na plataforma EAD da Escola Municipal de Administração Pública de São Paulo (EMAS",,Divulgada no PNCP,2023-05-17,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000018/2023,,"Aquisição de equipamentos de informática para atendimento das demandas diárias dos funcionários da Secretaria do Governo Municipal, conforme especificações e quantidades do Termo de Referência. Qualquer divergência entre as especificações contidas no Anexo I deste Edital e as constantes no CATMAT/CA",,Divulgada no PNCP,2023-05-17,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000019/2023,,"Aquisição de Garrafa de Água Mineral Natural 510ml.  Água Mineral 510ML - natural sem GÁS - alto grau de leveza pH em torno de 7 (neutro) e baixo teor de sódio.   MARCAS REFERÊNCIA: Bioleve, Minalba, Lindoya, Nestlé  Entregas serão conforme segue:- 2023: 3564 garrafas (parcelado de 05 à 12/2023)    ",,Divulgada no PNCP,2023-05-18,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000020/2023,,"Aquisição de Capachos.   A vistoria é necessária, pois os capachos serão encaixados numa cavidade já existente nos pisos de entradas, devendo obedecer às medidas de altura, largura e comprimento existente na cavidade, para evitar tropeções das pessoas. A empresa vencedora, após vistoria e confirmaçã",,Divulgada no PNCP,2023-05-18,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000021/2023,,"Mesas de reunião com tampo retangular de madeira revestida em laminado melamínico com 25 mm de espessura, cor Dueto Moro ou Carvalho Hanover em alumínio polido ou aço cromado. Caso a estrutura não seja totalmente em aço cromado ou alumínio polido a parte superior deverá ser na cor cinza ou preta, pé",,Divulgada no PNCP,2023-05-25,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000022/2023,,"Contratação de empresa especializada no fornecimento e instalação de sombreadores/toldos para o bicicletário e estacionamento da Rua Dr. Falcão Filho, para cobrir uma área aproximada de 287,70 m², conforme especificações do Termo de Referência do Edital.",,Divulgada no PNCP,2023-05-26,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000023/2023,,Aquisição de Capachos Conforme Edital em anexo.,,Divulgada no PNCP,2023-05-26,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000024/2023,,"Contratação de empresa especializada na modernização do sistema de acesso existente no Edifício Matarazzo, conforme especificações do Termo de Referência do Edital.",,Divulgada no PNCP,2023-05-31,,,
