ano,competencia,tipo_transferencia,modalidade_transferencia,orgao_superior_codigo,orgao_superior_nome,unidade_gestora_codigo,unidade_gestora_nome,funcao_id,funcao_descricao,acao_id,acao_descricao,valor_transferido,municipio_ibge,municipio_nome,fonte_api
2024,2024-12,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAVXU,TÍTULO:AMPLIAÇÃO E INTERIORIZAÇÃO DA INFRAESTRUTURA DE PESQUISA DA UEAESTE PROJETO TEM COMO OBJETIVO APORTAR RECURSOS PARA A AQUISIÇÃO DE   EQUIPAMENTOS DE MÉDIO E GRANDE PORTES PARA CENTROS DE ESTUDOS         SUPERIORES DA UEA SEDIADOS NO INTERIOR DO ESTADO DO AMAZONAS DE MODO AFOMENTAR O DESENVOLVIMENTO ACADÊMICO E SOCIAL DESSAS LOCALIDADES.     OBJETIVOS ESPECÍFICOS:,4960808.95,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135039,EMBRAPA/CPAC,20,Agricultura,970976,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",51.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135002,EMBRAPA/CPAF-ACRE,21,Organização agrária,973498,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",1000000.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,84000,Ministério dos Povos Indígenas,840008,SECRET.GESTAO AMB. E TERRITORIAL INDIGENA MPI,14,Direitos da cidadania,964777,Aquisicao de veiculo para apoio as atividades agroecologicas entre o povo Puri da Serra do Brigadeiro.,20.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAVZW,"TÍTULO: CONSOLIDAÇÃO DO PARQUE ANALÍTICO DA UFVJM: MICROSCOPIA, TECNO-LOGIAS DA INFORMAÇÃO E CARACTERIZAÇÃO DE MATERIAIS                    O PROPÓSITO CENTRAL DESTE PROJETO É A EXPANSÃO DO PARQUE TECNOLÓGICO  DA UFVJM VISANDO À CONDUÇÃO DE PESQUISAS INTERDISCIPLINARES AVANÇADAS NAS ÁREAS DAS CIÊNCIAS BIOLÓGICAS, SAÚDE, AGRÍCOLAS E DA TERRA. ESSA  EXPANSÃO ABRANGE DIVERSAS FRENTES DE ATUAÇÃO. PRIMEIRAMENTE, INCLUI O",4890973.75,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-10,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAUJA,"TITULO:CONHECIMENTO DA BIODIVERSIDADE PARA_ESTIMAR E MITIGAR IMPACTOS NA AMAZÔNIA                                                           AUMENTAR O CONHECIMENTO SOBRE A BIODIVERSIDADE AMAZÔNICA ATRAVÉS DA:  DETECÇÃO DE TÁXONS NOVOS E ENDEMISMOS; REVISÃO DE TÁXONS              SUPRAESPECÍFICOS (GRUPOS DE ESPÉCIES, SUBGÊNEROS, GÊNEROS, TRIBOS,    SUBFAMÍLIAS ETC.), RECONSTRUÇÃO DE RELAÇÕES FILOGENÉTICAS; VERIFICAÇÃO",4768959.93,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAVPA,"TÍTULO:TECNOLOGIA NACIONAL DE BAIXO CUSTO PARA O AUMENTO DA PRODUTIVI-DADE E COMPETITIVIDADE DA SUINOCULTURA BRASILEIRA                     OBTER UM FORMULADO VACINAL DO TIPO VLP CONTRA A CIRCOVIROSE SUÍNA     VIÁVEL PRODUTIVAMENTE E COMERCIALMENTE. PARA ISSO SERÁ REALIZADA A    CONSTRUÇÃO DE UM BANCO MASTER SEED, O ESCALONAMENTO DA PRODUÇÃO EM E. COLI, A OTIMIZAÇÃO DA OBTENÇÃO DE DIFERENTES FORMULAÇÕES E A AVALIAÇÃO",3167913.6,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-11,Não se aplica,AGUARDANDO PRESTAÇÃO DE CONTAS,22000,Ministério da Agricultura e Pecuária,135008,EMBRAPA/CPAF-AP,20,Agricultura,967339,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",67.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-07,Não se aplica,EM EXECUÇÃO,53000,Ministério da Integração e do Desenvolvimento Regional,530020,CAIXA ECONOMICA FEDERAL - MI,-1,Sem informação,962960,Pavimentacao de estradas rurais do municipio de Vicosa/MG.,0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,PRESTAÇÃO DE CONTAS ENVIADA PARA ANÁLISE,22000,Ministério da Agricultura e Pecuária,135006,EMBRAPA/CPATU,20,Agricultura,970190,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",115000.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-11,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAVCA,"TITULO: TRANSFORMANDO DADOS EM CONHECIMENTO: IMPULSIONANDO A PESQUISA E A INOVAÇÃO NA TRANSFERÊNCIA DE TECNOLOGIA UNIVERSIDADE-EMPRESA      I. DESENVOLVER E MODERNIZAR A INFRAESTRUTURA DE PESQUISA CIENTÍFICA E TECNOLÓGICA NAS DIFERENTES REGIÕES ONDE A UNIVERSIDADE ESTÁ PRESENTE, GARANTINDO CONDIÇÕES ADEQUADAS PARA O CRESCIMENTO E A CONSOLIDAÇÃO DASATIVIDADES DE PESQUISA EM TODAS AS ÁREAS DO CONHECIMENTO.",13592914.62,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-10,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAUHX,"CONSOLIDAÇÃO E AMPLIAÇÃO DA ESTRUTURA MULTIUSUÁRIA DA UFV COMO UM AMBIENTE FAVORÁVEL AO DESENVOLVIMENTO CIENTÍFICO E TECNOLÓGICO NACIONAL   AMPLIAR E REESTRUTURAR AS INFRAESTRUTURAS MULTIUSUÁRIO DA UFV PARA    SUPORTE ANALÍTICO DA PESQUISA CIENTÍFICA DE TODO BRASIL, CONSOLIDANDO SUA VOCAÇÃO COMO AMBIENTE FAVORÁVEL AO DESENVOLVIMENTO CIENTÍFICO E   TECNOLÓGICO DO SETOR PÚBLICO E PRIVADO.",14914480.95,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,AGUARDANDO PRESTAÇÃO DE CONTAS,56000,Ministério das Cidades,560006,SECRETARIA NACIONAL DE SANEAMENTO AMBIENTAL,17,Saneamento,971452,"O municipio de Vicosa, Minas Gerais, tem cerca de 80 mil habitantes e conta com a atuacao de duas associacoes de catadores/as sendo elas: a Associacao dos Catadores de Materiais Reciclaveis de Vicosa - ACAT, proponente neste edital, e Associacao dos Trabalhadores da Usina de Triagem e Reciclagem de Vicosa (ACAMARE). Ambas atuam desde o inicio dos anos 2000 com a coleta e destinacao dos materiais reciclaveis do munici",629300.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,49000,Ministério do Desenvolvimento Agrário e Agricultura Familiar,490021,SUBSECRETARIA DE MULHERES RURAIS/MDA,21,Organização agrária,969434,"Apoiar e fortalecer grupos produtivos de mulheres rurais na Zona da Mata de Minas Gerais e no Vale do Ribeira e Sudoeste Paulista, estado de So Paulo, para promover a autonomia pessoal, poltica e econmica das mulheres rurais, a agroecologia e a economia feminista e solidria.Promover o fortalecimento de grupos informais e associaes de mulheres rurais, compostos por agricultoras familiares, quilombolas, assentadas da r",2507994.93,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135039,EMBRAPA/CPAC,20,Agricultura,970977,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de materiais, pagamentos, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",1000000.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,TRANSFERENCIA LEGAL,ADIMPLENTE,24000,"Ministério da Ciência, Tecnologia e Inovação",240901,FUNDO NAC.DE DESENV. CIENT. E TECNOLOGICO,19,Ciência e Tecnologia,1AAVXY,"TÍTULO:FORTALECIMENTO DA PESQUISA E PÓSGRADUAÇÃO DA UNIVERSIDADE FEDE-RAL DE RORAIMA:BIOTECNOLOGIA, AGRICULTURA SUSTENTÁVEL E RECURSOS HÍDRICOS                                                                   O PROJETO BIOAGROHIDRO-UFRR TEM UM ESCOPO AMPLO, ABRANGENDO AS ÁREAS  DA BIOTECNOLOGIA E VALORIZAÇÃO DA BIODIVERSIDADE; AGRICULTURA         SUSTENTÁVEL E AGROECOLOGIA; E GESTÃO DE RECURSOS HÍDRICOS. DESTE MODO,",4413180.62,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-07,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135014,EMBRAPA/CNPMF,21,Organização agrária,963906,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",2216449.45,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-12,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135006,EMBRAPA/CPATU,20,Agricultura,970194,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",499950.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-11,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135008,EMBRAPA/CPAF-AP,20,Agricultura,967360,"A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades do Plano de Trabalho apresentado no Programa.",481280.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
2024,2024-06,Não se aplica,EM EXECUÇÃO,22000,Ministério da Agricultura e Pecuária,135042,EMBRAPA/UEP/RECIFE,08,Assistência social,963873,"Projeto Desenvolvimento da Plataforma Tecnologica Digital - GuardeAgua, para apoiar tecnicos e agricultores na escolha de local adequado para a construcao e uso agrosustentavel de barragens subterraneas. A proposta tem por objetivo viabilizar os processos de contratacoes, compras de equipamentos e materiais, pagamento, prestacao de contas e demandas afins, conferindo maior celeridade em atendimento as especificidades",500000.0,3171303,VIÇOSA,https://api.portaldatransparencia.gov.br/api-de-dados/convenios
