ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2014,2922409,Mutuípe,MUTUÍPE - BA,S/I,Sem informação,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Atenção básica,"99.999,41","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2014,2922409,Mutuípe,MUTUÍPE - BA,S/I,Sem informação,,,Emenda Individual - Transferências com Finalidade Definida,Segurança pública,Defesa civil,"80,00","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
