Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"50.693.142,74","50.686.081,79","50.371.865,56","7.060,95","314.216,23",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3513801
06.122 - Administração Geral,"654.726,77","654.367,93","604.375,82","358,84","49.992,11",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3513801
06.181 - Policiamento,"49.471.151,51","49.465.756,21","49.207.995,96","5.395,30","257.760,25",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3513801
06.182 - Defesa Civil,"567.264,46","565.957,65","559.493,78","1.306,81","6.463,87",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2025&id_ente=3513801
