ano,municipio_ibge,municipio_nome,localidade_do_gasto_raw,numero_emenda,autor,partido,uf_autor,tipo_emenda,funcao,subfuncao,valor_empenhado,valor_liquidado,valor_pago,fonte_api
2018,2501906,Belém,BELÉM - PA,201830870004,EDMILSON RODRIGUES,,,Emenda Individual - Transferências com Finalidade Definida,Educação,Educação básica,"126.000,68","0,00","0,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2018,2501906,Belém,BELÉM - PA,201830820015,DELEGADO EDER MAURO,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Administração geral,"269.940,33","218.319,98","165.173,63",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2018,2501906,Belém,BELÉM DO SÃO FRANCISCO - PE,201827210004,JORGE CORTE REAL,,,Emenda Individual - Transferências com Finalidade Definida,Saúde,Administração geral,"300.000,00","300.000,00","300.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2018,2501906,Belém,BELÉM - PA,201820910005,FLEXA RIBEIRO,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Defesa terrestre,"499.956,88","159.869,37","159.869,37",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
2018,2501906,Belém,BELÉM - PA,201822630003,JADER BARBALHO,,,Emenda Individual - Transferências com Finalidade Definida,Defesa nacional,Defesa terrestre,"500.000,00","500.000,00","500.000,00",https://api.portaldatransparencia.gov.br/api-de-dados/emendas
